step,time,phase_name,simulation_time
57,0.29000000000000015,Standing,18.84
58,0.29500000000000015,Standing,18.82
59,0.30000000000000016,Standing,18.799999999999997
60,0.30500000000000016,Standing,18.78
61,0.31000000000000016,Standing,18.759999999999998
62,0.31500000000000017,Standing,18.740000000000002
63,0.3200000000000002,Standing,18.72
64,0.3250000000000002,Standing,18.700000000000003
65,0.3300000000000002,Standing,18.68
66,0.3350000000000002,Standing,18.66
67,0.3400000000000002,Standing,18.64
68,0.3450000000000002,Standing,18.62
69,0.3500000000000002,Standing,18.599999999999998
70,0.3550000000000002,Standing,18.580000000000002
71,0.3600000000000002,Standing,18.560000000000002
72,0.3650000000000002,Standing,18.54
73,0.3700000000000002,Standing,18.52
74,0.3750000000000002,Standing,18.5
75,0.3800000000000002,Standing,18.48
76,0.38500000000000023,Standing,18.46
77,0.39000000000000024,Standing,18.44
78,0.39500000000000024,Standing,18.42
79,0.40000000000000024,Standing,18.400000000000002
80,0.40500000000000025,Standing,18.380000000000003
81,0.41000000000000025,Standing,18.36
82,0.41500000000000026,Standing,18.34
83,0.42000000000000026,Standing,18.32
84,0.42500000000000027,Standing,18.3
85,0.43000000000000027,Standing,18.28
86,0.4350000000000003,Standing,18.26
87,0.4400000000000003,Standing,18.240000000000002
88,0.4450000000000003,Standing,18.22
89,0.4500000000000003,Standing,18.2
90,0.4550000000000003,Standing,18.18
91,0.4600000000000003,Standing,18.16
92,0.4650000000000003,Standing,18.14
93,0.4700000000000003,Standing,18.12
94,0.4750000000000003,Standing,18.1
95,0.4800000000000003,Standing,18.080000000000002
96,0.4850000000000003,Standing,18.060000000000002
97,0.4900000000000003,Standing,18.04
98,0.49500000000000033,Standing,18.02
99,0.5000000000000003,Standing,18.0
100,0.5050000000000003,Standing,17.98
101,0.5100000000000003,Standing,17.96
102,0.5150000000000003,Standing,17.94
103,0.5200000000000004,Standing,17.92
104,0.5250000000000004,Standing,17.9
105,0.5300000000000004,Standing,17.88
106,0.5350000000000004,Standing,17.86
107,0.5400000000000004,Standing,17.84
108,0.5450000000000004,Standing,17.82
109,0.5500000000000004,Standing,17.8
110,0.5550000000000004,Standing,17.78
111,0.5600000000000004,Standing,17.76
112,0.5650000000000004,Standing,17.740000000000002
113,0.5700000000000004,Standing,17.72
114,0.5750000000000004,Standing,17.7
115,0.5800000000000004,Standing,17.68
116,0.5850000000000004,Standing,17.66
117,0.5900000000000004,Standing,17.64
118,0.5950000000000004,Standing,17.62
119,0.6000000000000004,Standing,17.6
120,0.6050000000000004,Standing,17.58
121,0.6100000000000004,Standing,17.56
122,0.6150000000000004,Standing,17.54
123,0.6200000000000004,Standing,17.52
124,0.6250000000000004,Standing,17.5
125,0.6300000000000004,Standing,17.48
126,0.6350000000000005,Standing,17.46
127,0.6400000000000005,Standing,17.44
128,0.6450000000000005,Standing,17.42
129,0.6500000000000005,Standing,17.4
130,0.6550000000000005,Standing,17.38
131,0.6600000000000005,Standing,17.36
132,0.6650000000000005,Standing,17.34
133,0.6700000000000005,Standing,17.32
134,0.6750000000000005,Standing,17.3
135,0.6800000000000005,Standing,17.28
136,0.6850000000000005,Standing,17.259999999999998
137,0.6900000000000005,Standing,17.24
138,0.6950000000000005,Standing,17.22
139,0.7000000000000005,Standing,17.2
140,0.7050000000000005,Standing,17.18
141,0.7100000000000005,Standing,17.16
142,0.7150000000000005,Standing,17.14
143,0.7200000000000005,Standing,17.12
144,0.7250000000000005,Standing,17.1
145,0.7300000000000005,Standing,17.08
146,0.7350000000000005,Standing,17.06
147,0.7400000000000005,Standing,17.04
148,0.7450000000000006,Standing,17.02
149,0.7500000000000006,Standing,17.0
150,0.7550000000000006,Standing,16.98
151,0.7600000000000006,Standing,16.96
152,0.7650000000000006,Standing,16.939999999999998
153,0.7700000000000006,Standing,16.919999999999998
154,0.7750000000000006,Standing,16.9
155,0.7800000000000006,Standing,16.88
156,0.7850000000000006,Standing,16.86
157,0.7900000000000006,Standing,16.84
158,0.7950000000000006,Standing,16.82
159,0.8000000000000006,Standing,16.8
160,0.8050000000000006,Standing,16.78
161,0.8100000000000006,Standing,16.759999999999998
162,0.8150000000000006,Standing,16.74
163,0.8200000000000006,Standing,16.72
164,0.8250000000000006,Standing,16.7
165,0.8300000000000006,Standing,16.68
166,0.8350000000000006,Standing,16.66
167,0.8400000000000006,Standing,16.64
168,0.8450000000000006,Standing,16.619999999999997
169,0.8500000000000006,Standing,16.599999999999998
170,0.8550000000000006,Standing,16.58
171,0.8600000000000007,Standing,16.560000000000002
172,0.8650000000000007,Standing,16.54
173,0.8700000000000007,Standing,16.520000000000003
174,0.8750000000000007,Standing,16.5
175,0.8800000000000007,Standing,16.48
176,0.8850000000000007,Standing,16.46
177,0.8900000000000007,Standing,16.44
178,0.8950000000000007,Standing,16.419999999999998
179,0.9000000000000007,Standing,16.400000000000002
180,0.9050000000000007,Standing,16.38
181,0.9100000000000007,Standing,16.36
182,0.9150000000000007,Standing,16.34
183,0.9200000000000007,Standing,16.32
184,0.9250000000000007,Standing,16.299999999999997
185,0.9300000000000007,Standing,16.28
186,0.9350000000000007,Standing,16.259999999999998
187,0.9400000000000007,Standing,16.240000000000002
188,0.9450000000000007,Standing,16.22
189,0.9500000000000007,Standing,16.200000000000003
190,0.9550000000000007,Standing,16.18
191,0.9600000000000007,Standing,16.16
192,0.9650000000000007,Standing,16.14
193,0.9700000000000008,Standing,16.12
194,0.9750000000000008,Standing,16.099999999999998
195,0.9800000000000008,Standing,16.080000000000002
196,0.9850000000000008,Standing,16.06
197,0.9900000000000008,Standing,16.04
198,0.9950000000000008,Standing,16.02
199,1.0000000000000007,Standing,16.0
200,1.0050000000000006,Standing,15.979999999999999
201,1.0100000000000005,Standing,15.96
202,1.0150000000000003,Standing,15.939999999999998
203,1.0200000000000002,Standing,15.920000000000002
204,1.0250000000000001,Standing,15.9
205,1.03,Standing,15.88
206,1.035,Standing,15.860000000000001
207,1.0399999999999998,Standing,15.84
208,1.0449999999999997,Standing,15.82
209,1.0499999999999996,Standing,15.8
210,1.0549999999999995,Standing,15.780000000000001
211,1.0599999999999994,Standing,15.760000000000002
212,1.0649999999999993,Standing,15.74
213,1.0699999999999992,Standing,15.72
214,1.074999999999999,Standing,15.700000000000001
215,1.079999999999999,Standing,15.68
216,1.0849999999999989,Standing,15.66
217,1.0899999999999987,Standing,15.64
218,1.0949999999999986,Standing,15.620000000000001
219,1.0999999999999985,Standing,15.600000000000001
220,1.1049999999999984,Standing,15.58
221,1.1099999999999983,Standing,15.56
222,1.1149999999999982,Standing,15.540000000000001
223,1.119999999999998,Standing,15.52
224,1.124999999999998,Standing,15.5
225,1.129999999999998,Standing,15.48
226,1.1349999999999978,Standing,15.46
227,1.1399999999999977,Standing,15.440000000000001
228,1.1449999999999976,Standing,15.42
229,1.1499999999999975,Standing,15.4
230,1.1549999999999974,Standing,15.38
231,1.1599999999999973,Standing,15.36
232,1.1649999999999971,Standing,15.34
233,1.169999999999997,Standing,15.32
234,1.174999999999997,Standing,15.3
235,1.1799999999999968,Standing,15.280000000000001
236,1.1849999999999967,Standing,15.26
237,1.1899999999999966,Standing,15.24
238,1.1949999999999965,Standing,15.22
239,1.1999999999999964,Standing,15.2
240,1.2049999999999963,Standing,15.18
241,1.2099999999999962,Standing,15.16
242,1.214999999999996,Standing,15.14
243,1.219999999999996,Standing,15.120000000000001
244,1.2249999999999959,Standing,15.1
245,1.2299999999999958,Standing,15.08
246,1.2349999999999957,Standing,15.06
247,1.2399999999999956,Standing,15.04
248,1.2449999999999954,Standing,15.02
249,1.2499999999999953,Standing,15.0
250,1.2549999999999952,Standing,14.98
251,1.2599999999999951,Standing,14.96
252,1.264999999999995,Standing,14.94
253,1.269999999999995,Standing,14.92
254,1.2749999999999948,Standing,14.9
255,1.2799999999999947,Standing,14.879999999999999
256,1.2849999999999946,Standing,14.86
257,1.2899999999999945,Standing,14.84
258,1.2949999999999944,Standing,14.82
259,1.2999999999999943,Standing,14.8
260,1.3049999999999942,Standing,14.78
261,1.309999999999994,Standing,14.76
262,1.314999999999994,Standing,14.74
263,1.3199999999999938,Standing,14.719999999999999
264,1.3249999999999937,Standing,14.7
265,1.3299999999999936,Standing,14.68
266,1.3349999999999935,Standing,14.66
267,1.3399999999999934,Standing,14.64
268,1.3449999999999933,Standing,14.62
269,1.3499999999999932,Standing,14.6
270,1.354999999999993,Standing,14.58
271,1.359999999999993,Standing,14.559999999999999
272,1.3649999999999929,Standing,14.54
273,1.3699999999999928,Standing,14.52
274,1.3749999999999927,Standing,14.5
275,1.3799999999999926,Standing,14.48
276,1.3849999999999925,Standing,14.459999999999999
277,1.3899999999999924,Standing,14.44
278,1.3949999999999922,Standing,14.42
279,1.3999999999999921,Standing,14.399999999999999
280,1.404999999999992,Standing,14.379999999999999
281,1.409999999999992,Standing,14.36
282,1.4149999999999918,Standing,14.340000000000002
283,1.4199999999999917,Standing,14.32
284,1.4249999999999916,Standing,14.3
285,1.4299999999999915,Standing,14.28
286,1.4349999999999914,Standing,14.260000000000002
287,1.4399999999999913,Standing,14.239999999999998
288,1.4449999999999912,Standing,14.220000000000002
289,1.449999999999991,Standing,14.2
290,1.454999999999991,Standing,14.180000000000001
291,1.4599999999999909,Standing,14.16
292,1.4649999999999908,Standing,14.14
293,1.4699999999999906,Standing,14.12
294,1.4749999999999905,Standing,14.100000000000001
295,1.4799999999999904,Standing,14.079999999999998
296,1.4849999999999903,Standing,14.060000000000002
297,1.4899999999999902,Standing,14.04
298,1.4949999999999901,Standing,14.020000000000001
299,1.49999999999999,Standing,14.0
300,1.50499999999999,Standing,13.98
301,1.5099999999999898,Standing,13.959999999999999
302,1.5149999999999897,Standing,13.940000000000001
303,1.5199999999999896,Standing,13.919999999999998
304,1.5249999999999895,Standing,13.900000000000002
305,1.5299999999999894,Standing,13.879999999999999
306,1.5349999999999893,Standing,13.860000000000001
307,1.5399999999999892,Standing,13.84
308,1.544999999999989,Standing,13.82
309,1.549999999999989,Standing,13.799999999999999
310,1.5549999999999888,Standing,13.780000000000001
311,1.5599999999999887,Standing,13.759999999999998
312,1.5649999999999886,Standing,13.740000000000002
313,1.5699999999999885,Standing,13.719999999999999
314,1.5749999999999884,Standing,13.700000000000001
315,1.5799999999999883,Standing,13.68
316,1.5849999999999882,Standing,13.66
317,1.589999999999988,Standing,13.639999999999999
318,1.594999999999988,Standing,13.620000000000001
319,1.5999999999999879,Standing,13.599999999999998
320,1.6049999999999878,Standing,13.580000000000002
321,1.6099999999999877,Standing,13.559999999999999
322,1.6149999999999876,Standing,13.540000000000001
323,1.6199999999999875,Standing,13.52
324,1.6249999999999873,Standing,13.5
325,1.6299999999999872,Standing,13.479999999999999
326,1.6349999999999871,Standing,13.46
