step,time,phase_name,hamstrings_r.tendon_length,hamstrings_r.tendon_velocity,hamstrings_r.actuator_force,hamstrings_r.activation,bifemsh_r.tendon_length,bifemsh_r.tendon_velocity,bifemsh_r.actuator_force,bifemsh_r.activation,glut_max_r.tendon_length,glut_max_r.tendon_velocity,glut_max_r.actuator_force,glut_max_r.activation,iliopsoas_r.tendon_length,iliopsoas_r.tendon_velocity,iliopsoas_r.actuator_force,iliopsoas_r.activation,rect_fem_r.tendon_length,rect_fem_r.tendon_velocity,rect_fem_r.actuator_force,rect_fem_r.activation,vasti_r.tendon_length,vasti_r.tendon_velocity,vasti_r.actuator_force,vasti_r.activation,gastroc_r.tendon_length,gastroc_r.tendon_velocity,gastroc_r.actuator_force,gastroc_r.activation,soleus_r.tendon_length,soleus_r.tendon_velocity,soleus_r.actuator_force,soleus_r.activation,tib_ant_r.tendon_length,tib_ant_r.tendon_velocity,tib_ant_r.actuator_force,tib_ant_r.activation,hamstrings_l.tendon_length,hamstrings_l.tendon_velocity,hamstrings_l.actuator_force,hamstrings_l.activation,bifemsh_l.tendon_length,bifemsh_l.tendon_velocity,bifemsh_l.actuator_force,bifemsh_l.activation,glut_max_l.tendon_length,glut_max_l.tendon_velocity,glut_max_l.actuator_force,glut_max_l.activation,iliopsoas_l.tendon_length,iliopsoas_l.tendon_velocity,iliopsoas_l.actuator_force,iliopsoas_l.activation,rect_fem_l.tendon_length,rect_fem_l.tendon_velocity,rect_fem_l.actuator_force,rect_fem_l.activation,vasti_l.tendon_length,vasti_l.tendon_velocity,vasti_l.actuator_force,vasti_l.activation,gastroc_l.tendon_length,gastroc_l.tendon_velocity,gastroc_l.actuator_force,gastroc_l.activation,soleus_l.tendon_length,soleus_l.tendon_velocity,soleus_l.actuator_force,soleus_l.activation,tib_ant_l.tendon_length,tib_ant_l.tendon_velocity,tib_ant_l.actuator_force,tib_ant_l.activation
0,0.005,Standing,0.4201223480305749,0.0,0.0,0.0,0.24598155950629338,0.0,-297.4483830027054,0.0,0.20950694767158395,0.0,0.0,0.7579144017568316,0.5440919807896909,0.0,-16393.2804718355,1.0,0.47584710435049693,0.0,-238.05539867956358,1.0,0.18278673383901273,0.0,0.0,0.0,0.45015657892407046,0.0,0.0,0.06034003756970718,0.2913979577828231,0.0,0.0,0.0,0.30378507609891625,0.0,0.0,0.27671517271744994,0.42012234803057485,0.0,0.0,0.17530287614925935,0.24598155950629344,0.0,-297.4483830027064,0.0,0.20950694767158398,0.0,0.0,1.0,0.4655644795153633,0.0,-11685.223819841895,0.03871407561401004,0.4758471043504969,0.0,-238.05539867956287,0.0,0.18278673383901287,0.0,0.0,1.0,0.45015657892407057,0.0,0.0,0.0,0.29139795778282307,0.0,0.0,0.0,0.3037850760989162,0.0,0.0,0.0
1,0.01,Standing,0.4210073684728914,0.17349349002631825,0.0,0.0,0.24480573880392384,-0.24483380568439897,-273.6248441945571,0.0,0.21186335836585896,0.46873452884922717,-1084.3617122912312,0.7579144017568316,0.4581125809396844,-17.098842621465547,-11238.450904750083,1.0,0.471327136400463,-0.9006217472427869,-168.26404541039477,1.0,0.18551212930201866,0.5288863436171997,0.0,0.0,0.4501662503634351,0.0033033238425728695,-108.83618264600567,0.06034003756970718,0.2926895540373298,0.25690251364513644,0.0,0.0,0.30249456634427685,-0.2588898366141378,-253.10512832467492,0.27671517271744994,0.42093474385111923,0.15385675035514312,-398.21875034096945,0.17530287614925935,0.24435762729498278,-0.34261182260489204,-264.8072357429105,0.0,0.21235077113467915,0.5650076773162936,-1445.0206040572186,1.0,0.40184131523827304,-12.689614118471521,-7864.749940088932,0.03871407561401004,0.47006065732195285,-1.1486731627600175,-148.2300785311579,0.0,0.18646079726899006,0.7046870594513311,-2068.2694299656055,1.0,0.4502562910910935,0.022316440702473517,0.0,0.0,0.2932284917230998,0.36320152921567844,0.0,0.0,0.30194948937152544,-0.368675125184706,0.0,0.0
2,0.015,Standing,0.42220260861990455,0.23019080636608857,0.0,0.0,0.24284061102200616,-0.4151935927974573,-236.02846627444316,0.0,0.21530668709342232,0.6825436626765261,-1157.7121671520063,1.0,0.35310672102092217,-20.444717745103024,-4942.9043858077,0.0,0.4645994455323093,-1.3340674796339491,-82.87936401415503,0.0,0.18939346703030868,0.7359305782283717,0.0,0.0,0.45047262486799833,0.06338309759370003,-117.78456253255095,0.0666713156857528,0.29491379940923385,0.44014309785442085,0.0,0.0,0.3002188748553344,-0.4572811430315793,-64.50766284679592,0.0,0.4222040746252978,0.24536472400108789,-433.044813765347,0.48917785611180054,0.2422281466762231,-0.44923143219526845,-224.87860333359131,0.0,0.21599059653999236,0.7209682654828219,-1545.5374711295724,1.0,0.3242818379457022,-15.155041995404021,-3214.73043014927,0.0,0.4631387644173707,-1.3725760920510512,-68.59784757817668,0.0,0.1881328359383428,0.2931067643209827,-2381.129328881616,1.0,0.44973222824149,-0.10191756399457452,0.0,0.0,0.2946802249200794,0.2883346021285406,0.0,0.22450540023209153,0.3004611470666976,-0.29858268017654094,0.0,0.0
3,0.02,Standing,0.4233846159545017,0.22640040014510465,0.0,0.0,0.24056213716241764,-0.4800827358963112,-195.91399499614786,0.0,0.2188419061795761,0.6997259978162776,-1344.7287974858184,1.0,0.27652691851320466,-12.747000638122657,-440.38374908344656,0.0,0.45767857890297364,-1.3666211496576588,-27.16277322262236,0.0,0.19315435197733413,0.7046954853177263,0.0,0.26805526925045164,0.45024550268144437,-0.04288316505591272,-111.07246877971424,0.18312708403447048,0.2966376484269175,0.34160590862282886,0.0,0.050120052131014114,0.2984057477012964,-0.3637828956591669,-113.94714625299144,0.0,0.42371471878832123,0.2997718453499193,-987.9001501567212,0.6837150615121739,0.24043218246564138,-0.3724561794185671,-193.73857623317411,0.0,0.21923144059467925,0.641910755718583,-1625.698503621722,1.0,0.268603402188892,-8.961147043273884,-173.54793968675588,0.0,0.45747992867542775,-1.1258945025013107,-26.010803794805692,0.0,0.18717597418286777,-0.2146280570457108,-642.2897931786913,1.0,0.44863859958692115,-0.21739164701483163,0.0,0.0,0.2950933291454207,0.08244985993400485,-903.5359928023356,0.09301577722697724,0.30003211892938736,-0.08587703286355214,0.0,0.0
4,0.025,Standing,0.4243519577487354,0.18595052941470913,0.0,0.0,0.23841738870411874,-0.447111326006974,-161.56511696770878,0.0,0.22183338980100525,0.59245227937462,-1481.5840498599543,1.0,0.2507166593988915,-1.8505169541742235,0.0,0.0,0.45184428441551255,-1.1498878052257864,-3.728057416276184,0.0,0.1961577931646031,0.5634783428421025,-1105.7518254799452,0.24377515986170684,0.4497557101025247,-0.09674577469448575,-254.50953816312173,0.0,0.29778220147279577,0.22740024437252546,-238.91192605240386,0.0,0.297176547617145,-0.2463030362171411,-188.89085612470902,0.0,0.4252521620780406,0.30762854455864147,-1382.8102754167617,0.8069342323377906,0.23921360089663743,-0.24954859960219725,-173.9306363154451,0.0,0.2217389045003809,0.4973733339329429,-1681.6840332958245,1.0,0.2513878588964016,-1.5098143695930357,0.0,0.0,0.4534215117492444,-0.8090845756388952,-7.939925819482849,0.0,0.18642527353985622,-0.16082608999997833,-784.4020591877439,0.9277409497755194,0.44447892977540193,-0.8392983871739039,0.0,0.0,0.29200851610550044,-0.6255563707805011,-63.84789034200879,0.0,0.303177770893285,0.6247199042005231,0.0,0.0
5,0.030000000000000002,Standing,0.4251780394865346,0.1623944566734951,0.0,0.0,0.2368958517309419,-0.31228185589972557,-139.20307014871688,0.0,0.22395326810940044,0.42078999527879474,-1576.4174599137234,1.0,0.2503204081293921,0.9008606511298238,-1512.2446827098427,0.0,0.4479163632923971,-0.7771496271120486,-13.962435275387406,0.0,0.19678893499648165,0.10897532614250913,-1034.6426869096554,0.0,0.44814375688761243,-0.3213521764914852,-156.7802301660498,0.0,0.29734060917686483,-0.08854579241809289,-133.189897634014,0.0,0.2976532713272237,0.09527588722160779,-530.0581208111729,0.0,0.42630461203608216,0.21051720847839472,-1599.435522957832,0.8379126320793608,0.23828981378035013,-0.18741324358833464,-159.6262007356848,0.0,0.22348615475907999,0.3473085271805348,-1712.600887714248,1.0,0.24879994622897061,-0.20489987516604202,-30.201018373699167,0.0,0.45063257671929763,-0.5569402111395307,-1.561004986696407,0.0,0.18578746990002215,-0.13251748464377747,-825.8485316773389,1.0,0.4425556905269127,-0.3855270437674005,0.0,0.0,0.29082353804069033,-0.2381202450280342,-336.9705727517794,0.0,0.30435204583923986,0.2341617039660914,0.0,0.0
6,0.035,Standing,0.4258014720498519,0.1234282010587997,0.0,0.0,0.23577302369086195,-0.2283802992699407,-123.76851149967277,0.0,0.22547542865430648,0.3026913336612292,-1621.432787273975,1.0,0.25308325692628086,0.7625819523012284,-1291.151898769645,0.0,0.445179873785577,-0.5431041520973963,-64.21190926898937,0.0,0.19632633380036263,-0.10046063302732572,-483.6436936182979,0.0,0.44741739752436577,-0.1446848960932143,-190.2557406604774,0.0,0.2974199808371927,0.015867042805062705,-157.76647955597213,0.0,0.2975678164694278,-0.017093209300874556,-366.56004686093036,0.4027374391113971,0.42698128379358974,0.1354372067911781,-1683.5822604263378,0.6554434930939392,0.2376975314715111,-0.11931400969502848,-150.7778539340238,0.0,0.2245788333596866,0.2176597901302482,-1644.1064571979214,1.0,0.2484632675516078,0.0011472645619338075,-63.17010134372489,0.0,0.4489830542362952,-0.32985877680552045,-0.10354002758273992,0.0,0.1850756249586747,-0.14421512290405933,-738.6241539898216,1.0,0.4419321996182416,-0.12469697048866063,0.0,0.0,0.2906469669172383,-0.035338319754749055,-519.6912281851169,0.0,0.30452548494901593,0.03467220649497549,0.0,0.0
7,0.04,Standing,0.4262375301253685,0.08654555850631099,0.0,0.0,0.23496384510298088,-0.16376621094604282,-113.20757207670762,0.0,0.22653612106246782,0.21125773171937465,-1591.549997250513,1.0,0.25370395017407865,0.14147823595498948,-1053.11214108431,0.0,0.44323795970084595,-0.3859083064641008,-105.32381765641509,0.0,0.19593844389240206,-0.08135812059706976,-456.8442272600781,0.0,0.4469110046435871,-0.10101296748101549,-184.5041795954922,0.0,0.2974774441085179,0.011488818912486428,-145.35873522082085,0.0,0.2975058860861122,-0.01238724329559385,-682.6415407486228,0.1809592127529379,0.4273444797094924,0.0727399702218468,-1563.3150850390555,0.5130012582350078,0.23745113485305813,-0.049352696545872585,-147.171141150618,0.0,0.22508372504084004,0.10078667168422413,-1475.3603501146408,1.0,0.24843326853114633,0.0041120202747243866,-59.422347151735394,0.0,0.4483734026936465,-0.12202030904796476,0.0,0.0,0.18429668260411752,-0.1560671406307851,-652.7985096113397,1.0,0.4421006532046586,0.033622500465865575,0.0,0.0,0.2909928948405498,0.06909219871942639,-583.7140161591134,0.0,0.3041853228098569,-0.06809194876639574,0.0,0.0
8,0.045,Standing,0.42641926551122866,0.03596972096371065,0.0,0.0,0.23438476313070958,-0.11672914447293918,-105.93879676363531,0.0,0.22718455979154503,0.12934958956931727,-1505.1849819979327,1.0,0.25250488474870586,-0.23599674327644088,-262.54704425284973,0.0,0.4419212367580158,-0.26198396411486813,-135.69580380203774,0.22936859641529805,0.19563729382563544,-0.061891125967990734,-434.92857558301426,0.0,0.4477749319506985,0.17143452278915372,-237.52382176963613,0.0,0.2986808367227693,0.23892217236769442,-180.36891375208816,0.0,0.2961965712781139,-0.2623350132126573,-238.95388227279867,0.18959233156633848,0.4274364136802785,0.018309142954962276,-1389.2547219266112,0.39203418451014005,0.23753543781356626,0.016752857009427163,-148.4002402113971,0.0,0.2250620357793251,-0.004338208271586292,-1237.212806722761,1.0,0.24841799603773926,-0.0029541599218110433,-54.15489296861294,0.0,0.44869743530288464,0.06511981324479332,-0.025971158000157687,0.0,0.18345483066568258,-0.16822539300543765,-569.5469231853349,1.0,0.44280511040474013,0.1406723140017241,0.0,0.0,0.2916264109792963,0.1263793474022608,-577.9124393674074,0.0,0.30355840822032176,-0.12557878915085396,0.0,0.0
9,0.049999999999999996,Standing,0.4264562213137935,0.00731547889132908,0.0,0.0,0.23416152183007302,-0.044806989568406064,-103.2010238970323,0.0,0.22740233362951237,0.043516124805914325,-1350.4577533874328,1.0,0.25119068345997075,-0.24913884768230316,-214.12449870455424,0.0,0.4413189123715893,-0.12014705791563823,-190.52569191592283,0.4580728281559131,0.1952182838493085,-0.08413390311864632,-352.10110403728896,0.0,0.44824137433375605,0.092949116257565,-203.42245786383003,0.36008639446804297,0.29928565591820033,0.12049794557806978,-152.15272655499248,0.0,0.2955293794979097,-0.13354780984001352,-387.73028641428647,0.0,0.4272844021463593,-0.03084903840532688,-1195.7897788081793,0.28478381030731686,0.23792891272984676,0.0778987475417607,-154.20452571533272,0.0,0.22455465683638212,-0.10166861207216409,-993.917662511774,1.0,0.24853098501721177,0.02765964807124032,-55.36391007158242,0.0,0.44988327888452645,0.23828308031773876,-0.685628231965671,0.0,0.18253117564927454,-0.18513412076848718,-478.62791882992036,0.9833855770866823,0.4438747120939696,0.21364369752569579,0.0,0.09809355580769538,0.29239051992738996,0.15232902534684759,-546.374820095973,0.0,0.30279531304515495,-0.15289651594538062,0.0,0.0
