generation,min_cost,mean_cost,best_cost,simulation_time
83,16.240000000000002,17.8688,11.760000000000002,11.760000000000002
84,16.12,18.2648,11.760000000000002,11.760000000000002
85,16.54,18.096799999999998,11.760000000000002,11.760000000000002
86,16.259999999999998,18.101599999999998,11.760000000000002,11.760000000000002
87,15.72,17.9944,11.760000000000002,11.760000000000002
88,16.200000000000003,18.008,11.760000000000002,11.760000000000002
89,16.84,18.215999999999998,11.760000000000002,11.760000000000002
90,15.68,18.011999999999997,11.760000000000002,11.760000000000002
91,16.32,18.052,11.760000000000002,11.760000000000002
92,16.02,18.1168,11.760000000000002,11.760000000000002
93,16.259999999999998,17.8888,11.760000000000002,11.760000000000002
94,16.34,18.4152,11.760000000000002,11.760000000000002
95,16.22,17.8488,11.760000000000002,11.760000000000002
96,15.860000000000001,17.8056,11.760000000000002,11.760000000000002
97,16.22,17.6112,11.760000000000002,11.760000000000002
98,16.14,17.887999999999998,11.760000000000002,11.760000000000002
99,15.280000000000001,17.274400000000004,11.760000000000002,11.760000000000002
100,16.299999999999997,17.748,11.760000000000002,11.760000000000002
101,15.780000000000001,17.6968,11.760000000000002,11.760000000000002
102,16.06,17.8352,11.760000000000002,11.760000000000002
103,16.34,17.5032,11.760000000000002,11.760000000000002
104,16.38,17.6632,11.760000000000002,11.760000000000002
105,16.32,17.9152,11.760000000000002,11.760000000000002
106,15.32,17.1056,11.760000000000002,11.760000000000002
107,16.14,17.738400000000002,11.760000000000002,11.760000000000002
108,14.04,17.6792,11.760000000000002,11.760000000000002
109,15.96,17.5064,11.760000000000002,11.760000000000002
110,16.06,17.6064,11.760000000000002,11.760000000000002
111,15.06,17.3528,11.760000000000002,11.760000000000002
112,15.56,17.446399999999997,11.760000000000002,11.760000000000002
113,15.440000000000001,17.8552,11.760000000000002,11.760000000000002
114,14.74,17.332,11.760000000000002,11.760000000000002
115,14.28,17.156,11.760000000000002,11.760000000000002
116,16.080000000000002,17.828,11.760000000000002,11.760000000000002
117,13.860000000000001,17.359199999999998,11.760000000000002,11.760000000000002
118,15.9,17.727999999999998,11.760000000000002,11.760000000000002
119,15.120000000000001,17.4816,11.760000000000002,11.760000000000002
120,13.439999999999998,17.6152,11.760000000000002,11.760000000000002
121,14.54,17.561600000000002,11.760000000000002,11.760000000000002
122,14.340000000000002,17.232,11.760000000000002,11.760000000000002
123,13.780000000000001,17.3424,11.760000000000002,11.760000000000002
124,15.1,17.54,11.760000000000002,11.760000000000002
125,14.62,17.902399999999997,11.760000000000002,11.760000000000002
126,15.06,17.467200000000002,11.760000000000002,11.760000000000002
127,13.120000000000001,17.4008,11.760000000000002,11.760000000000002
128,14.94,17.1504,11.760000000000002,11.760000000000002
129,15.06,17.456,11.760000000000002,11.760000000000002
130,15.120000000000001,17.576800000000002,11.760000000000002,11.760000000000002
131,14.340000000000002,17.4496,11.760000000000002,11.760000000000002
132,15.16,17.2056,11.760000000000002,11.760000000000002
133,15.24,17.4144,11.760000000000002,11.760000000000002
134,14.66,16.9728,11.760000000000002,11.760000000000002
135,13.439999999999998,16.6856,11.760000000000002,11.760000000000002
136,13.82,17.292,11.760000000000002,11.760000000000002
