generation,min_cost,mean_cost,best_cost,simulation_time
1,17.740000000000002,18.440800000000003,17.740000000000002,17.740000000000002
2,17.04,18.4352,17.04,17.04
3,16.88,18.0104,16.88,16.88
4,16.299999999999997,18.064,16.299999999999997,16.299999999999997
5,16.400000000000002,17.653599999999997,16.299999999999997,16.299999999999997
6,16.38,17.7232,16.299999999999997,16.299999999999997
7,16.099999999999998,17.500799999999998,16.099999999999998,16.099999999999998
8,16.080000000000002,17.325599999999998,16.080000000000002,16.080000000000002
9,15.96,16.8712,15.96,15.96
10,15.22,16.760800000000003,15.22,15.22
11,15.74,16.82,15.22,15.22
12,14.04,16.4568,14.04,14.04
13,15.620000000000001,16.512,14.04,14.04
14,15.72,16.5576,14.04,14.04
15,15.66,16.691200000000002,14.04,14.04
16,15.700000000000001,16.7824,14.04,14.04
17,15.68,16.191200000000002,14.04,14.04
18,15.72,16.2592,14.04,14.04
19,15.700000000000001,16.456,14.04,14.04
20,15.74,16.3168,14.04,14.04
