generation,min_cost,mean_cost,best_cost,simulation_time
1,17.84,18.4304,17.84,17.84
2,17.16,18.1312,17.16,17.16
3,16.88,17.896800000000002,16.88,16.88
4,16.64,17.732,16.64,16.64
5,16.16,17.356,16.16,16.16
6,16.080000000000002,17.2608,16.080000000000002,16.080000000000002
7,16.16,17.404,16.080000000000002,16.080000000000002
8,16.299999999999997,17.1496,16.080000000000002,16.080000000000002
9,16.04,17.292,16.04,16.04
10,15.88,17.0056,15.88,15.88
11,16.0,16.8792,15.88,15.88
12,15.22,16.7384,15.22,15.22
13,15.72,16.715999999999998,15.22,15.22
14,14.86,16.4488,14.86,14.86
15,15.38,16.172000000000004,14.86,14.86
16,15.52,16.4232,14.86,14.86
17,15.1,16.386400000000002,14.86,14.86
18,14.84,16.128,14.84,14.84
19,13.959999999999999,16.176000000000002,13.959999999999999,13.959999999999999
20,14.96,16.546400000000002,13.959999999999999,13.959999999999999
21,14.340000000000002,16.290399999999998,13.959999999999999,13.959999999999999
22,13.120000000000001,16.1352,13.120000000000001,13.120000000000001
23,14.2,15.870400000000002,13.120000000000001,13.120000000000001
24,15.02,16.031999999999996,13.120000000000001,13.120000000000001
25,14.020000000000001,16.125600000000002,13.120000000000001,13.120000000000001
26,13.639999999999999,16.08,13.120000000000001,13.120000000000001
27,13.799999999999999,16.4152,13.120000000000001,13.120000000000001
28,14.180000000000001,16.7328,13.120000000000001,13.120000000000001
29,13.780000000000001,16.0504,13.120000000000001,13.120000000000001
30,14.68,15.9136,13.120000000000001,13.120000000000001
31,14.76,16.031200000000002,13.120000000000001,13.120000000000001
32,14.82,15.66,13.120000000000001,13.120000000000001
33,13.279999999999998,15.5056,13.120000000000001,13.120000000000001
34,12.58,15.616799999999998,12.58,12.58
35,12.620000000000001,15.576800000000002,12.58,12.58
36,14.58,16.0296,12.58,12.58
37,14.64,16.093600000000002,12.58,12.58
38,14.060000000000002,15.7,12.58,12.58
39,14.64,15.988800000000001,12.58,12.58
40,15.04,15.8912,12.58,12.58
41,13.260000000000002,15.4912,12.58,12.58
42,14.020000000000001,15.513600000000002,12.58,12.58
43,12.98,15.328,12.58,12.58
44,13.08,15.911999999999999,12.58,12.58
45,12.5,15.291999999999998,12.5,12.5
46,12.66,16.0456,12.5,12.5
