step,time,phase_name,qpos_pelvis_tx,qpos_pelvis_ty,qpos_pelvis_tilt,qpos_hip_flexion_r,qpos_knee_r_translation1,qpos_knee_r_translation2,qpos_knee_angle_r,qpos_ankle_angle_r,qpos_rect_fem_r_rect_fem_r-P3_x,qpos_rect_fem_r_rect_fem_r-P3_y,qpos_vasti_r_vas_int_r-P4_x,qpos_vasti_r_vas_int_r-P4_y,qpos_vasti_r_vas_int_r-P3_y,qpos_vasti_r_vas_int_r-P3_z,qpos_gastroc_r_med_gas_r-P2_x,qpos_gastroc_r_med_gas_r-P2_y,qpos_gastroc_r_med_gas_r-P2_z,qpos_hip_flexion_l,qpos_knee_l_translation1,qpos_knee_l_translation2,qpos_knee_angle_l,qpos_ankle_angle_l,qpos_rect_fem_l_rect_fem_l-P3_x,qpos_rect_fem_l_rect_fem_l-P3_y,qpos_vasti_l_vas_int_l-P4_x,qpos_vasti_l_vas_int_l-P4_y,qpos_vasti_l_vas_int_l-P3_y,qpos_vasti_l_vas_int_l-P3_z,qpos_gastroc_l_med_gas_l-P2_x,qpos_gastroc_l_med_gas_l-P2_y,qpos_gastroc_l_med_gas_l-P2_z,qpos_iliopsoas_r_psoas_r-P3_x,qpos_iliopsoas_r_psoas_r-P3_y,qpos_iliopsoas_r_psoas_r-P3_z,qpos_iliopsoas_l_psoas_l-P3_x,qpos_iliopsoas_l_psoas_l-P3_y,qpos_iliopsoas_l_psoas_l-P3_z,qvel_dof_0,qvel_dof_1,qvel_dof_2,qvel_dof_3,qvel_dof_4,qvel_dof_5,qvel_dof_6,qvel_dof_7,qvel_dof_8,qvel_dof_9,qvel_dof_10,qvel_dof_11,qvel_dof_12,qvel_dof_13,qvel_dof_14,qvel_dof_15,qvel_dof_16,qvel_dof_17,qvel_dof_18,qvel_dof_19,qvel_dof_20,qvel_dof_21,qvel_dof_22,qvel_dof_23,qvel_dof_24,qvel_dof_25,qvel_dof_26,qvel_dof_27,qvel_dof_28,qvel_dof_29,qvel_dof_30,qvel_dof_31,qvel_dof_32,qvel_dof_33,qvel_dof_34,qvel_dof_35,qvel_dof_36,com_x,com_y,com_z,cop_x,cop_y,cop_z,grf_x,grf_y,grf_z
0,0.005,Standing,-0.0043389024538703115,0.9486327356667364,-0.01173067155227659,0.04256442870171986,-0.003394931411220989,-0.3958572822937525,-0.05295608714439742,0.027985674204413946,0.060541531133206865,0.020637632899274488,0.05442349523198071,0.02501433890648313,-0.2275313581879033,0.026240879204103635,-0.02884742051133235,-0.4013104210109779,-0.025571087915385773,0.051426865422551364,-0.0033166763965421634,-0.39591418370013026,-0.07214617842596101,0.03975555393576338,0.059864691756138094,0.020818493843689556,0.0536855434183873,0.025104683366856912,-0.22902660266675762,-0.02606394624223401,-0.028744454908050478,-0.4012402127245907,0.02555339462924799,-0.010073394122063156,-0.042219297360513434,-0.040384508349413734,0.052989723453629706,-0.04104406815243209,-0.08052254933380827,-0.8677804907740623,-0.27345286665271157,-2.346134310455318,8.512885740343972,0.048813717755802205,-0.031456458750499364,-10.591217428879483,5.597134840882789,-0.4096937733586289,0.06352657985489721,-0.4093009536038585,0.05086778129662548,-0.826271637580662,-0.09782415917927338,0.06051589773352958,0.03791579780442223,0.009782416922845408,10.285373084510272,0.06446472069156726,-0.04283674002605618,-14.4292356851922,7.951110787152676,-0.5450616487723826,0.0996987687379108,-0.5568913163225406,0.06893667337138233,-1.1253205333515253,0.1332107515531974,0.08110901838990457,0.051957455081860185,-0.01332107415040168,-2.014678824412631,-2.6838594721026867,8.023098330117254,-5.722055309274059,-2.448813630486418,-0.004509866761654548,-0.09570044520114983,-0.00019313370727725945,0.9717573621916887,nan,nan,nan,nan,nan,nan
1,0.01,Standing,-0.010755542370047791,0.9468482086106872,-0.02926956555028961,0.1103609112860787,-0.0028363786967218994,-0.3961621577411617,-0.14047506515264235,-0.002292592581855553,0.05705741987559108,0.02131906065849304,0.05086693849043087,0.025505101369774682,-0.2345307600361664,0.025412730132163493,-0.02714012887939507,-0.4016576690194254,-0.025060560855540835,0.11051472323676512,-0.0026640756419077857,-0.39625264580413594,-0.12113928478835537,-0.2641057690871992,0.05738351710681246,0.021422574773617163,0.050797545206385915,0.02780344176966477,-0.23296706436242162,-0.025493348196541706,-0.02849295948009723,-0.40105421567788274,0.02550640857755333,-0.02228509935536039,-0.058769583862337216,0.009700193523617652,0.017592653361979772,-0.05607679126461158,-0.08050075125373787,-1.2833279832354958,-0.35690541120984026,-3.5077787996026037,13.559296516871765,0.11171054289981797,-0.06097508948184281,-17.50379560164899,-6.0556533572539,-0.6968222515231572,0.13628555184370997,-0.711311348309968,0.0981524926583106,-1.3998803696526232,-0.1656298143880282,0.34145832638745566,-0.06944960168949718,0.10210541196898752,11.81757156284275,0.13052015092687555,-0.06769242080113093,-9.798621272478872,-60.772264604592515,-0.49623492986512807,0.12081618598552168,-0.5775996424002771,0.539751680561572,-0.7880923391327987,0.11411960913846142,0.050299085590649203,0.037199409341593645,-0.009397210338932198,-2.442341046659447,-3.310057300364757,10.016940374606277,-7.079414018329986,-3.0065446224358974,0.0043596160140805355,-0.09569319194937176,-0.00019424351964673062,0.9715787480999272,nan,nan,nan,nan,nan,nan
2,0.015,Standing,-0.018152337776521022,0.9435414866545208,-0.049549731566841795,0.19605536085837422,-0.0022723115932371104,-0.39654229243661304,-0.2699672180660122,0.2223848204544299,0.052467150339625984,0.02213227065820055,0.04604963219912616,0.02589901492895136,-0.24518081552889112,0.024152877339653503,-0.025701610798082083,-0.4015653714629546,-0.02466479962789751,0.18116727345029526,-0.002424607611578552,-0.3963949573719319,-0.19493413627007983,-0.27446712616650293,0.0546489902544049,0.021837235402074627,0.04743464050980833,0.03047466233047119,-0.23914268611045658,-0.024648066196368838,-0.0281022685136307,-0.4007617284042968,0.025432936675339118,-0.03154147513799417,-0.07176367800013582,0.05035645015538951,-0.010636664236107273,-0.06779243276349022,-0.08039183840108033,-1.4793590812946462,-0.6613443912332968,-4.056033203310436,17.138889914459106,0.11281342069695782,-0.07602693909026961,-25.898430582673974,44.935482607257086,-0.9180539071930192,0.1626419999415022,-0.9634612582609415,0.0787827118353363,-2.130011098544945,-0.2519705585019979,0.2877036162625972,0.018459511294155698,0.07915224552866536,14.130510042706026,0.047893606065846736,-0.028462313559195367,-14.75897029634489,-2.0722714158607545,-0.5469053704815108,0.08293212569149304,-0.6725809393155172,0.534244112161284,-1.2351243496069928,0.16905640003457365,0.07813819329330648,0.05849745471718283,-0.014694380442842464,-1.8512751565267562,-2.5988188275597213,8.131251326354372,-5.645863519617409,-2.3431282997757275,0.021782570531509077,-0.09574417652487081,-0.00019560049686766893,0.9712071339134686,nan,nan,nan,nan,nan,nan
3,0.02,Standing,-0.024972817982809953,0.9401183827993149,-0.06835307822248674,0.2777006371539212,-0.0013427395777915467,-0.39723649412244266,-0.38980369943099125,0.2393532206595271,0.047994841561848446,0.023147515684920357,0.041318402339348914,0.02646534813217849,-0.2552934699576568,0.022957308538216998,-0.024005887207742747,-0.4016882083005254,-0.02397467411450025,0.23955209958688614,-0.002233498118573397,-0.39647520244004064,-0.2508272972986361,-0.22111349178271006,0.05255197868200818,0.02215785230032357,0.04431906059582815,0.033779477425708755,-0.24405770378639602,-0.02392514805884615,-0.027829641682259817,-0.40052468382876305,0.025374322010305036,-0.036552052108081524,-0.07942778812623245,0.07513989199887383,-0.027479317288353358,-0.07493387242968785,-0.08035974941786832,-1.3640960412577865,-0.6846207710411751,-3.7606693311289874,16.32905525910939,0.18591440308911272,-0.13884033716592242,-23.967296272995814,3.3936800410194436,-0.894461755555507,0.20304900534396148,-0.946245971955449,0.1132666406454254,-2.022530885753135,-0.23911376028730105,0.3391447180678675,-0.02456736751415503,0.13802510267945142,11.676965227318176,0.03822189860103102,-0.01604901362174171,-11.178632205711255,10.670726876758573,-0.41940231447934406,0.06412337964978863,-0.6231159827960359,0.6609630190475129,-0.9830035351878883,0.14458362750453757,0.054525366274176784,0.047408915106748835,-0.011722933006816157,-1.00211539401747,-1.5328220252193259,4.956688368696866,-3.368530610449217,-1.4282879332395282,0.006417796642402267,-0.095755381817236,-0.0001966425885239824,0.9706371538951153,nan,nan,nan,nan,nan,nan
4,0.025,Standing,-0.0312049239649187,0.9369320037599387,-0.08547673949295218,0.35456060951116636,-0.0003907340827733023,-0.3980558200654328,-0.5054209624122381,0.23819837426543097,0.04398984634602415,0.02404401478829216,0.03705615414870648,0.026922340367263133,-0.26523336551922366,0.02178253349944291,-0.02294069643831584,-0.4014909921362906,-0.023481153062185917,0.2868798271937195,-0.0019907680486014752,-0.396587118952307,-0.29304056692451724,-0.17723191661055204,0.05092323879253781,0.022472680241642676,0.04195084222765859,0.03581253769101183,-0.24789046292222225,-0.02338879400945367,-0.027640119493212344,-0.4003382803039474,0.02532874175475234,-0.038854359346960146,-0.08359820322914263,0.0891525398638774,-0.03683378937468262,-0.07912779041753672,-0.0803972302493691,-1.2464211964217493,-0.637275807875251,-3.424732254093089,15.371994471449039,0.19040109900364888,-0.1638651885980223,-23.12345259624936,-0.23096927881922769,-0.800999043164859,0.17929982067436073,-0.8524496381284873,0.09139844701692867,-1.987979112313381,-0.23495500775481726,0.2130381538853813,0.03944323284695789,0.0987042104628664,9.465545521366673,0.04854601399438437,-0.022383302453282086,-8.44265392517622,8.776315034431605,-0.3257479778940741,0.06296558826382113,-0.47364367363391324,0.4066120530606151,-0.766551827165245,0.10727080987849613,0.03790443780949452,0.037280704963131676,-0.009116051110539716,-0.46046144777572495,-0.8340830205820366,2.8025295730007147,-1.8708944172658517,-0.838783597569772,-0.0074961663001541015,-0.09579185316611988,-0.0001971891590318103,0.9698289954912201,nan,nan,nan,nan,nan,nan
5,0.030000000000000002,Standing,-0.03724255960627533,0.9337642291699482,-0.10211177593839327,0.4321915000352984,0.000568825258636906,-0.3990169620376405,-0.6261946918287261,0.2959395459426426,0.04038738453922485,0.02475813534038227,0.033219166489203866,0.027228214738628756,-0.27566791366417587,0.02054935264602381,-0.02241215874760054,-0.4009632772778881,-0.023180815498416024,0.3255224295444981,-0.001772087770122197,-0.39666740858241617,-0.32075487695827076,-0.14357448204775497,0.04981370324225193,0.022734583865728762,0.04009274257091399,0.03742911356279428,-0.25051892302742973,-0.023012632040627905,-0.027528095582223473,-0.40020883276075264,0.025297471627009335,-0.03934781237472845,-0.08592566176800102,0.09499002936863418,-0.041530961149328194,-0.0814533067735477,-0.08046930846849167,-1.2075271282713256,-0.6335549179981073,-3.32700728908822,15.526178104826409,0.19191186828204165,-0.1922283944415428,-24.154745883297604,11.548234335442329,-0.7204923613598605,0.14282411041802248,-0.7673975319005222,0.06117487427312464,-2.086909628990436,-0.2466361706838199,0.10570753814306035,0.1055429716804896,0.060067512753978446,7.728520470155718,0.04373605569585565,-0.016057926021823866,-5.54286200675071,6.731486912559412,-0.22190711005717578,0.052380724817217436,-0.37161993134892,0.32331517435649115,-0.525692021041497,0.07523239376515299,0.02240478219777436,0.025889508638958798,-0.006254025548600495,-0.0986906055536616,-0.4654917077716778,1.1674979009513546,-0.9394343549291151,-0.4651032712021961,-0.014415643824514327,-0.09602519136793142,-0.00019745644724745342,0.9692140447750327,nan,nan,nan,nan,nan,nan
6,0.035,Standing,-0.04334291644280686,0.9308239016349436,-0.1187899851731587,0.5128451149601496,0.0016438020176316745,-0.400345159803163,-0.749003706882782,0.19833957143240552,0.03705930387562873,0.02544955692511875,0.029701303861729964,0.027575388230312844,-0.2862613081950219,0.01929744733774216,-0.022589983151813556,-0.4000079077357192,-0.0230114866916666,0.3580814937371089,-0.0016027068868106056,-0.39671768720121686,-0.3362248718388485,-0.12186619043634614,0.049155815803993294,0.022931571569304563,0.038814487233855964,0.03846450131282675,-0.2520892376418988,-0.022785304014031508,-0.02747665656091467,-0.4001301939360211,0.025278798711310897,-0.03866144091259026,-0.08714734234325021,0.09495187290932453,-0.043393156383757986,-0.08261007127281819,-0.0805546946106035,-1.2200713673063064,-0.5880655070009229,-3.3356418469530857,16.13072298497025,0.2149953517989537,-0.2656395531045073,-24.561803010811175,-19.519994902047415,-0.6656161327192235,0.13828431694729615,-0.7035725254947802,0.06943469833681773,-2.118678906169204,-0.2503810616563302,-0.03556488084260358,0.1910739084337862,0.033865761349884865,6.511812838522161,0.033876176662318264,-0.01005572376013731,-3.0939989761155573,4.341658322281766,-0.13157748765172717,0.03939754071515998,-0.25565106741160515,0.20707755000649275,-0.31406292289380855,0.04546560531927939,0.010287804261760692,0.01572776494629969,-0.0037345831396872913,0.13727429242763814,-0.24433611504983818,-0.007631291861931899,-0.37243904688595786,-0.23135289985409782,-0.017077228422365344,-0.09643048763618171,-0.00019752188083354985,0.9688114096552126,nan,nan,nan,nan,nan,nan
7,0.04,Standing,-0.04851389320663129,0.927983391438185,-0.13315963972414693,0.5820906734206373,0.002476687197836237,-0.40146580680632116,-0.859897575052417,0.2994922777450939,0.034681183166503884,0.025755505540825722,0.02719513825169622,0.027641951125990483,-0.29604894241040963,0.018141089720234607,-0.02265317961471437,-0.3992049071130449,-0.022975980779327596,0.3797979251761645,-0.0015258887000808225,-0.39669935912660514,-0.3383479031160849,-0.10328334383206773,0.04897503732747536,0.0230373257648495,0.0381173819041926,0.039095860752052194,-0.25250937819867814,-0.022708747044469544,-0.027492410017817624,-0.40010658922500314,0.025273785233532093,-0.037678306177183325,-0.08722671646602172,0.09412945422017689,-0.04358658323247659,-0.08307186134687869,-0.08064655338280317,-1.0341953527648862,-0.5681020393517241,-2.873930910197647,13.849111692097532,0.1665770360409125,-0.2241294006316384,-22.178773633927015,20.230541262537677,-0.4756241418249686,0.06118972314139426,-0.5012331220067487,0.01331257913552774,-1.9575268430775532,-0.23127152350151065,-0.012639292580162397,0.16060012453486347,0.007101182467800841,4.343286287811123,0.01536363734595661,0.003665614922347696,-0.4246062554472756,3.7165693208556814,-0.03615569530358731,0.021150839108987175,-0.13942106593267303,0.12627188784508878,-0.08402811135587598,0.015311393912392845,-0.0031506913805903793,0.004720942203594878,-0.0010026955557608111,0.19662694708138728,-0.015874824554301142,-0.16448373782952597,-0.03868536974372083,-0.09235801481209927,-0.018371754439935956,-0.09699221834078674,-0.00019745135711457464,0.9686045769724784,nan,nan,nan,nan,nan,nan
8,0.045,Standing,-0.05344830036980513,0.9254631557430727,-0.14670328645749373,0.6511847403000635,0.0033232922169548406,-0.4029606416945954,-0.9680388727712593,0.2251158282701865,0.03257578302580393,0.02608691395725947,0.025014443599830204,0.027817214551593982,-0.3055094490553396,0.01702333764440043,-0.02333280731490968,-0.397857487454173,-0.023042095145238518,0.39470325166208825,-0.0015290062502232571,-0.3966290901648124,-0.3297432149891777,-0.08956047401508982,0.04918348809922007,0.023064536841448154,0.037972556800322424,0.039315134729049586,-0.2519736215729357,-0.022761129051432027,-0.02755669381111994,-0.40012931968990323,0.025280125184322787,-0.036573454734752195,-0.08659878264315307,0.0929024409321042,-0.04285051860688064,-0.08312410198591859,-0.08073660933366295,-0.9868814326347678,-0.5040471390224581,-2.7087293466693567,13.818813375885249,0.1693210038237207,-0.2989669776548467,-21.628259543768458,-14.875289894981478,-0.42108002813998996,0.0662816832867496,-0.43613893037320345,0.03505268512069999,-1.8921013289859943,-0.22355041516683577,-0.13592554003906224,0.2694839317743841,-0.013222873182184167,2.981065297184744,-0.0006235100284869288,0.014053792358545867,1.7209376253814503,2.7445739633955832,0.04169015434894198,0.005442215319730905,-0.028965020774035066,0.0438547953994788,0.10715132514848824,-0.010476401392496431,-0.012856758660463121,-0.004546092980023278,0.0012679901581389027,0.22097028848622668,0.12558676457373044,-0.24540265761453725,0.1472129251191909,-0.010448127807980795,-0.01801119017195396,-0.09765908446706943,-0.0001973716235868438,0.9684876089554677,nan,nan,nan,nan,nan,nan
9,0.049999999999999996,Standing,-0.057538167267749,0.923054079282945,-0.15818929416429495,0.7089895223745801,0.003964177778355072,-0.4041884935594651,-1.0651578938294215,0.3458456514232041,0.03124090322290172,0.026105736338518187,0.023651512014649902,0.027767120752014974,-0.3141485452268294,0.016002803573554908,-0.023610180163165618,-0.39691671499704195,-0.023129044347744643,0.4004670685110814,-0.0016212200700381702,-0.3964931302746684,-0.3107375570963189,-0.07441271312066439,0.04976848759497826,0.023007214257631765,0.03835395118555391,0.039229577083489814,-0.25051535214559023,-0.022934024010961014,-0.02766945069460388,-0.40019651780495513,0.025297411680077448,-0.03546628831545686,-0.08563671577770673,0.09152613725167898,-0.04164477534162162,-0.08296431754154447,-0.08082493298419181,-0.817973379588774,-0.48181529202552553,-2.297201541360246,11.560956414903341,0.1281771122800464,-0.24557037297394702,-19.423804211632433,24.145964630603515,-0.266975960580443,0.003764476251743365,-0.27258631703605996,-0.010018759915801964,-1.727819234297952,-0.20410681416910414,-0.0554745696511877,0.1881544914262122,-0.01738984050122512,1.152763369798622,-0.01844276396298262,0.027191978028798983,3.801131578571764,3.0295521788850874,0.11699989915163893,-0.011464516763277813,0.07627887704629736,-0.017111529111954203,0.29165388546908877,-0.034578991905797565,-0.022551376696788035,-0.013439623010381574,0.0034572991509325473,0.2214332838590673,0.19241337308926773,-0.2752607360850452,0.24114865305180422,0.03195688887482399,-0.017664730105773064,-0.09844754068603043,-0.0001972946043189567,0.9684655427049315,nan,nan,nan,nan,nan,nan
