generation,min_cost,mean_cost,best_cost,simulation_time
1,17.46,18.508799999999997,17.46,17.46
2,17.32,18.199199999999998,17.32,17.32
3,17.24,17.912,17.24,17.24
4,17.259999999999998,17.7176,17.24,17.24
5,17.2,17.9096,17.2,17.2
6,17.2,17.6584,17.2,17.2
7,17.2,17.592799999999997,17.2,17.2
8,17.2,17.488799999999998,17.2,17.2
9,17.2,17.4504,17.2,17.2
10,17.16,17.399199999999997,17.16,17.16
11,17.18,17.3376,17.16,17.16
12,17.14,17.275199999999998,17.14,17.14
13,17.22,17.396,17.14,17.14
14,17.2,17.340799999999998,17.14,17.14
15,17.18,17.3952,17.14,17.14
16,17.18,17.3272,17.14,17.14
17,17.2,17.4,17.14,17.14
18,17.24,17.5064,17.14,17.14
19,17.22,17.275199999999998,17.14,17.14
20,17.18,17.283199999999997,17.14,17.14
21,17.2,17.2768,17.14,17.14
22,17.18,17.3064,17.14,17.14
23,17.18,17.4552,17.14,17.14
24,17.18,17.3552,17.14,17.14
25,17.2,17.449599999999997,17.14,17.14
26,17.18,17.288799999999995,17.14,17.14
27,17.1,17.3792,17.1,17.1
28,17.16,17.2848,17.1,17.1
29,17.18,17.296799999999998,17.1,17.1
30,17.08,17.3472,17.08,17.08
31,17.12,17.3424,17.08,17.08
32,17.16,17.3896,17.08,17.08
33,17.2,17.4144,17.08,17.08
34,17.16,17.2296,17.08,17.08
35,17.2,17.316,17.08,17.08
36,17.2,17.3512,17.08,17.08
37,17.14,17.294399999999996,17.08,17.08
38,17.18,17.4896,17.08,17.08
39,17.16,17.461599999999997,17.08,17.08
40,17.18,17.336,17.08,17.08
41,17.2,17.448,17.08,17.08
42,17.18,17.2888,17.08,17.08
43,17.18,17.3704,17.08,17.08
44,17.18,17.360799999999998,17.08,17.08
45,17.18,17.2928,17.08,17.08
46,17.18,17.479200000000002,17.08,17.08
47,17.18,17.3216,17.08,17.08
48,17.16,17.3992,17.08,17.08
49,17.12,17.3728,17.08,17.08
50,17.18,17.32,17.08,17.08
51,17.14,17.3848,17.08,17.08
52,17.16,17.38,17.08,17.08
53,17.18,17.4176,17.08,17.08
54,17.1,17.3344,17.08,17.08
55,17.14,17.394399999999997,17.08,17.08
56,17.18,17.4328,17.08,17.08
57,17.14,17.3144,17.08,17.08
58,17.18,17.453599999999998,17.08,17.08
59,17.18,17.384,17.08,17.08
60,17.16,17.2944,17.08,17.08
61,17.18,17.2712,17.08,17.08
62,17.18,17.2776,17.08,17.08
63,17.16,17.3392,17.08,17.08
64,17.14,17.4664,17.08,17.08
65,17.18,17.3584,17.08,17.08
66,17.12,17.339199999999998,17.08,17.08
67,17.18,17.3504,17.08,17.08
68,17.16,17.3624,17.08,17.08
69,17.16,17.332,17.08,17.08
70,17.16,17.3808,17.08,17.08
71,17.18,17.363200000000003,17.08,17.08
72,17.18,17.32,17.08,17.08
73,17.14,17.3712,17.08,17.08
74,17.14,17.3496,17.08,17.08
75,17.18,17.4256,17.08,17.08
76,17.14,17.4064,17.08,17.08
77,17.18,17.3536,17.08,17.08
78,17.18,17.3192,17.08,17.08
79,17.18,17.316,17.08,17.08
80,17.14,17.4104,17.08,17.08
81,17.14,17.4136,17.08,17.08
82,17.18,17.3648,17.08,17.08
83,17.12,17.251199999999997,17.08,17.08
84,17.14,17.2712,17.08,17.08
85,17.18,17.3904,17.08,17.08
86,17.18,17.3096,17.08,17.08
87,17.16,17.340799999999998,17.08,17.08
88,17.18,17.4072,17.08,17.08
89,17.18,17.288,17.08,17.08
90,17.18,17.2792,17.08,17.08
91,17.18,17.227999999999998,17.08,17.08
92,17.18,17.3096,17.08,17.08
93,17.18,17.2032,17.08,17.08
94,17.14,17.272000000000002,17.08,17.08
95,17.18,17.3928,17.08,17.08
96,17.16,17.332,17.08,17.08
97,17.18,17.3232,17.08,17.08
98,17.18,17.2976,17.08,17.08
99,17.18,17.2472,17.08,17.08
100,17.18,17.2272,17.08,17.08
101,17.18,17.2328,17.08,17.08
102,17.16,17.188,17.08,17.08
103,17.18,17.2304,17.08,17.08
104,17.18,17.2592,17.08,17.08
105,17.16,17.212,17.08,17.08
106,17.14,17.2064,17.08,17.08
107,17.18,17.212,17.08,17.08
108,17.18,17.2,17.08,17.08
109,17.18,17.1896,17.08,17.08
110,17.18,17.2088,17.08,17.08
111,17.14,17.1832,17.08,17.08
112,17.18,17.2112,17.08,17.08
113,17.12,17.180799999999998,17.08,17.08
114,17.16,17.1896,17.08,17.08
115,17.16,17.255200000000002,17.08,17.08
116,17.1,17.1928,17.08,17.08
117,17.16,17.2344,17.08,17.08
118,17.14,17.231199999999998,17.08,17.08
119,17.16,17.206400000000002,17.08,17.08
120,17.16,17.2256,17.08,17.08
121,17.14,17.2712,17.08,17.08
122,17.14,17.263199999999998,17.08,17.08
123,17.16,17.2368,17.08,17.08
124,17.12,17.2424,17.08,17.08
125,17.12,17.2832,17.08,17.08
126,17.18,17.3408,17.08,17.08
127,17.1,17.2224,17.08,17.08
128,17.14,17.2952,17.08,17.08
129,17.14,17.254399999999997,17.08,17.08
130,17.14,17.2304,17.08,17.08
131,17.14,17.268,17.08,17.08
132,17.12,17.208,17.08,17.08
133,17.14,17.2848,17.08,17.08
134,17.14,17.305600000000002,17.08,17.08
135,17.14,17.3336,17.08,17.08
136,17.14,17.253600000000002,17.08,17.08
137,17.14,17.268,17.08,17.08
138,17.14,17.2688,17.08,17.08
139,17.14,17.263199999999998,17.08,17.08
140,17.14,17.2408,17.08,17.08
141,17.14,17.2016,17.08,17.08
142,17.14,17.2024,17.08,17.08
143,17.14,17.2528,17.08,17.08
144,17.14,17.208,17.08,17.08
145,17.18,17.3328,17.08,17.08
146,17.14,17.292,17.08,17.08
147,17.14,17.2128,17.08,17.08
148,17.14,17.209600000000002,17.08,17.08
149,17.14,17.2184,17.08,17.08
150,17.14,17.232,17.08,17.08
151,17.12,17.284800000000004,17.08,17.08
152,17.14,17.228,17.08,17.08
153,17.14,17.234399999999997,17.08,17.08
154,17.12,17.1968,17.08,17.08
155,17.14,17.1968,17.08,17.08
156,17.14,17.234399999999997,17.08,17.08
157,17.12,17.236800000000002,17.08,17.08
158,17.14,17.2184,17.08,17.08
159,17.14,17.204,17.08,17.08
160,17.14,17.174400000000002,17.08,17.08
161,17.14,17.1768,17.08,17.08
162,17.12,17.197599999999998,17.08,17.08
163,17.14,17.174400000000002,17.08,17.08
164,17.14,17.2016,17.08,17.08
165,17.14,17.261599999999998,17.08,17.08
166,17.14,17.2056,17.08,17.08
167,17.14,17.2704,17.08,17.08
168,17.14,17.234399999999997,17.08,17.08
169,17.14,17.2048,17.08,17.08
170,17.14,17.212,17.08,17.08
171,17.14,17.203999999999997,17.08,17.08
172,17.14,17.22,17.08,17.08
173,17.14,17.1728,17.08,17.08
174,17.14,17.2224,17.08,17.08
175,17.14,17.2024,17.08,17.08
176,17.14,17.224,17.08,17.08
177,17.14,17.3416,17.08,17.08
178,17.14,17.256,17.08,17.08
179,17.14,17.248,17.08,17.08
180,17.14,17.272799999999997,17.08,17.08
181,17.14,17.2192,17.08,17.08
182,17.14,17.182399999999998,17.08,17.08
183,17.14,17.195199999999996,17.08,17.08
184,17.14,17.188,17.08,17.08
185,17.14,17.1768,17.08,17.08
186,17.14,17.1752,17.08,17.08
187,17.14,17.1904,17.08,17.08
188,17.14,17.1816,17.08,17.08
189,17.14,17.1896,17.08,17.08
190,17.14,17.1896,17.08,17.08
191,17.14,17.1936,17.08,17.08
192,17.14,17.196,17.08,17.08
193,17.14,17.176,17.08,17.08
194,17.14,17.1688,17.08,17.08
195,17.14,17.1704,17.08,17.08
196,17.14,17.167199999999998,17.08,17.08
197,17.14,17.1576,17.08,17.08
198,17.14,17.1704,17.08,17.08
199,17.14,17.1696,17.08,17.08
200,17.14,17.165599999999998,17.08,17.08
201,17.14,17.1664,17.08,17.08
202,17.14,17.16,17.08,17.08
203,17.14,17.1584,17.08,17.08
204,17.14,17.1528,17.08,17.08
