generation,min_cost,mean_cost,best_cost,simulation_time
1,17.86,18.4024,17.86,17.86
2,17.32,18.236800000000002,17.32,17.32
3,17.28,18.2416,17.28,17.28
4,16.759999999999998,18.1208,16.759999999999998,16.759999999999998
5,17.08,17.977600000000002,16.759999999999998,16.759999999999998
6,16.82,17.8152,16.759999999999998,16.759999999999998
7,16.919999999999998,17.698400000000003,16.759999999999998,16.759999999999998
8,16.44,17.418400000000002,16.44,16.44
9,16.78,17.401600000000002,16.44,16.44
10,15.920000000000002,17.088,15.920000000000002,15.920000000000002
11,16.619999999999997,17.527199999999997,15.920000000000002,15.920000000000002
12,16.34,17.4656,15.920000000000002,15.920000000000002
13,16.299999999999997,17.269600000000004,15.920000000000002,15.920000000000002
14,16.419999999999998,16.8952,15.920000000000002,15.920000000000002
15,15.58,16.9336,15.58,15.58
16,15.9,16.580799999999996,15.58,15.58
17,15.58,16.8192,15.58,15.58
18,14.9,16.552,14.9,14.9
19,15.68,16.587999999999997,14.9,14.9
20,15.58,16.5992,14.9,14.9
21,15.26,16.129599999999996,14.9,14.9
22,14.58,16.1896,14.58,14.58
23,11.62,16.0408,11.62,11.62
24,13.100000000000001,15.7456,11.62,11.62
25,14.399999999999999,16.4952,11.62,11.62
26,14.5,16.831200000000003,11.62,11.62
27,11.16,15.694399999999998,11.16,11.16
28,12.66,15.8496,11.16,11.16
29,9.48,15.688799999999999,9.48,9.48
30,13.22,15.567200000000003,9.48,9.48
31,6.379999999999999,15.578399999999998,6.379999999999999,6.379999999999999
32,6.379999999999999,14.6224,6.379999999999999,6.379999999999999
33,8.34,14.5464,6.379999999999999,6.379999999999999
34,11.299999999999999,14.9136,6.379999999999999,6.379999999999999
35,6.379999999999999,14.833599999999997,6.379999999999999,6.379999999999999
36,6.379999999999999,13.968799999999998,6.379999999999999,6.379999999999999
37,6.379999999999999,13.706399999999999,6.379999999999999,6.379999999999999
38,12.28,14.8272,6.379999999999999,6.379999999999999
39,6.379999999999999,13.593599999999999,6.379999999999999,6.379999999999999
40,6.379999999999999,12.919999999999998,6.379999999999999,6.379999999999999
41,6.379999999999999,12.5616,6.379999999999999,6.379999999999999
42,6.379999999999999,10.1784,6.379999999999999,6.379999999999999
43,6.379999999999999,9.448799999999999,6.379999999999999,6.379999999999999
44,6.379999999999999,8.5208,6.379999999999999,6.379999999999999
45,6.379999999999999,10.0336,6.379999999999999,6.379999999999999
46,6.379999999999999,9.399999999999999,6.379999999999999,6.379999999999999
47,6.379999999999999,9.579199999999998,6.379999999999999,6.379999999999999
48,6.379999999999999,7.802399999999999,6.379999999999999,6.379999999999999
49,6.379999999999999,8.445599999999999,6.379999999999999,6.379999999999999
