step,time,phase_name,qpos_pelvis_tx,qpos_pelvis_ty,qpos_pelvis_tilt,qpos_hip_flexion_r,qpos_knee_r_translation1,qpos_knee_r_translation2,qpos_knee_angle_r,qpos_ankle_angle_r,qpos_rect_fem_r_rect_fem_r-P3_x,qpos_rect_fem_r_rect_fem_r-P3_y,qpos_vasti_r_vas_int_r-P4_x,qpos_vasti_r_vas_int_r-P4_y,qpos_vasti_r_vas_int_r-P3_y,qpos_vasti_r_vas_int_r-P3_z,qpos_gastroc_r_med_gas_r-P2_x,qpos_gastroc_r_med_gas_r-P2_y,qpos_gastroc_r_med_gas_r-P2_z,qpos_hip_flexion_l,qpos_knee_l_translation1,qpos_knee_l_translation2,qpos_knee_angle_l,qpos_ankle_angle_l,qpos_rect_fem_l_rect_fem_l-P3_x,qpos_rect_fem_l_rect_fem_l-P3_y,qpos_vasti_l_vas_int_l-P4_x,qpos_vasti_l_vas_int_l-P4_y,qpos_vasti_l_vas_int_l-P3_y,qpos_vasti_l_vas_int_l-P3_z,qpos_gastroc_l_med_gas_l-P2_x,qpos_gastroc_l_med_gas_l-P2_y,qpos_gastroc_l_med_gas_l-P2_z,qpos_lumbar_extension,qpos_iliopsoas_r_psoas_r-P3_x,qpos_iliopsoas_r_psoas_r-P3_y,qpos_iliopsoas_r_psoas_r-P3_z,qpos_iliopsoas_l_psoas_l-P3_x,qpos_iliopsoas_l_psoas_l-P3_y,qpos_iliopsoas_l_psoas_l-P3_z,qvel_dof_0,qvel_dof_1,qvel_dof_2,qvel_dof_3,qvel_dof_4,qvel_dof_5,qvel_dof_6,qvel_dof_7,qvel_dof_8,qvel_dof_9,qvel_dof_10,qvel_dof_11,qvel_dof_12,qvel_dof_13,qvel_dof_14,qvel_dof_15,qvel_dof_16,qvel_dof_17,qvel_dof_18,qvel_dof_19,qvel_dof_20,qvel_dof_21,qvel_dof_22,qvel_dof_23,qvel_dof_24,qvel_dof_25,qvel_dof_26,qvel_dof_27,qvel_dof_28,qvel_dof_29,qvel_dof_30,qvel_dof_31,qvel_dof_32,qvel_dof_33,qvel_dof_34,qvel_dof_35,qvel_dof_36,qvel_dof_37,com_x,com_y,com_z,cop_x,cop_y,cop_z,grf_x,grf_y,grf_z
0,0.005,Standing,-0.0002688606270606181,0.9492513125599441,-0.00606646433426353,0.010316276582608972,-0.0035999980811905817,-0.3957217168507037,-0.008280151372284687,0.00556137234338694,0.0621250115716628,0.020211159994523446,0.05614967098855549,0.02479914923778448,-0.22404844214349454,0.026653255849320993,-0.029099175131990052,-0.4014717338288968,-0.025612325579903117,0.010316276589344258,-0.0035999980811104683,-0.39572171685075713,-0.008280151391203201,0.005561372359219322,0.06212501157099637,0.020211159994697483,0.056149670987832086,0.02479914923786977,-0.22404844214497113,-0.02665325584000317,-0.02909917513188908,-0.4014717338288277,0.025612325589029386,0.006585740263928588,-0.028827866185506083,-0.08049465435420534,0.08159572270880916,-0.028827866185506083,-0.08049465435420534,-0.08159572269963554,-0.05377212541212362,-0.14973748801117912,-1.2132928668527059,2.0632553165217944,0.007800383761883616,-0.004343370140739147,-1.6560302744569373,1.112274468677388,-0.09299768566744102,-0.021768001095310918,-0.06406580228890173,0.00782984755689542,-0.12968842869891237,-0.015348830135801546,0.010164973601989011,0.00565323422064961,0.0015348840193767205,2.0632553178688515,0.007800383777906355,-0.00434337015143214,-1.6560302782406402,1.1122744718438644,-0.09299768580072752,-0.02176800106050358,-0.0640658024335822,0.007829847573953526,-0.12968842899422922,0.015348831999366057,0.010164973622183453,0.00565323423445677,-0.0015348821941225952,1.3171480527857176,-0.005573237101216542,0.0010691291589320785,-0.0008554582381705209,-0.0055732371012165065,0.0010691291589320785,0.0008554600728936579,-0.09570440894062783,-0.00019771760510768993,0.9717544169286635,nan,nan,nan,nan,nan,nan
1,0.01,Standing,1.3593293266634993e-05,0.9497015981215906,-0.0010880699554268276,-0.002257705697126182,-0.0034221458216268956,-0.39574945519996957,0.020723078243493544,-0.29181676270446133,0.06227771351682897,0.01959977061403173,0.05674587291787514,0.026325914980804808,-0.22167334927521842,0.026863101758173247,-0.029277115794492423,-0.4015771025981832,-0.02564018151287503,-0.002475368874855239,-0.003561050557413864,-0.3956239258025522,0.0116418407285207,-0.12806913859158808,0.062429869894310576,0.019877175205602334,0.056562702019400425,0.02622773336311857,-0.22244826659188963,-0.026771415150541676,-0.029225380234572513,-0.40154060467002817,0.025631013478278106,0.0014204851987827524,-0.029756965495868593,-0.07998093023382771,0.08137097495422044,-0.029756969613813574,-0.0799809496149672,-0.08137097963392008,0.05649078406545062,0.09005711232929983,0.9956788757673405,-2.514796455947031,0.035570451912737194,-0.005547669853182402,5.8006459231556455,-59.47562700956965,0.030540389033233292,-0.12227787609834265,0.11924038586392936,0.30535314860406576,0.47501857365522215,0.04196918177045107,-0.035588132500474184,-0.0210737538572793,-0.005571186594382046,-2.5583290928398994,0.007789504739320883,0.0195582096409918,3.98439842394478,-26.726102190161484,0.06097166466284108,-0.06679695781902996,0.08260620631366755,0.2857168250497602,0.32003511061630124,-0.023631862107701504,-0.025241020536686705,-0.013774168240083418,0.0037375778497442114,-1.033051013029167,-0.18581986207250173,0.10274482407552742,-0.04494955091774466,-0.18582068566149823,0.10274094784763041,0.044948613143092724,-0.09570284429633702,-0.0001976679442575603,0.9715105590468684,nan,nan,nan,nan,nan,nan
2,0.015,Standing,-0.0010282605909182126,0.9472977642579185,-0.0225812156377261,0.03487653018884465,-0.003471207850891703,-0.3957501169826327,0.000807317162182998,-0.39498049736124774,0.0605739783043299,0.01853306519946436,0.056002404504445595,0.02707236332468134,-0.22317180341397144,0.026650262793118423,-0.029134385923671263,-0.4015167338103339,-0.025622305596963442,0.035230560090205476,-0.0036890028132235964,-0.3955097508949654,-0.03122282595221101,0.06407438202622356,0.06091977134286404,0.01975409104406811,0.05510640552609929,0.026923875442488834,-0.22584862862795815,-0.026333022459640233,-0.02895890846494669,-0.4013904270233382,0.025590637270175364,0.02458549643846137,-0.03131580496194869,-0.07917558835469131,0.0810096929184388,-0.03132168047263668,-0.07917240609390332,-0.08100833750418657,-0.20837077683696953,-0.48076677273443946,-4.298629136459854,7.426847177194166,-0.009812405852961455,-0.00013235653262087897,-3.983152216262109,-20.632746931357275,-0.3407470424998131,-0.2133410829134743,-0.14869368268590877,0.14928966877530608,-0.29969082775060396,-0.042567793010964694,0.028545974164231783,0.012073757569850057,0.003575183182317381,7.5411857930121435,-0.025590451161946498,0.022834981517361026,-8.572933336146342,38.428704123562326,-0.3020197102893073,-0.024616832306844458,-0.2912592986602257,0.13922841587405282,-0.6800724072137048,0.08767853818028876,0.05329435392516444,0.03003552933799022,-0.008075241620548236,4.633002247935723,-0.31176789321601905,0.16106837582728095,-0.0722564071563258,-0.3129421717646209,0.16170870421277714,0.07252842594670206,-0.09576047511263439,-0.00019757606700114628,0.9710478613751258,nan,nan,nan,nan,nan,nan
3,0.02,Standing,-0.0007470327018136845,0.9485161191172766,-0.003336509279477498,0.017656558806580326,-0.003673391232305921,-0.3956422062999162,-0.008110876096953342,-0.414852392448267,0.059747819397324646,0.017811229545033745,0.05562937417131275,0.028281546738228466,-0.22393802247911934,0.026500469542042923,-0.029109029537955376,-0.40147302309812943,-0.02561303875967539,0.0001626673195356948,-0.003592689131070383,-0.3954049412276929,0.001617069273610227,-0.1442535662449038,0.06146619394149147,0.01943638920123394,0.05571431125400878,0.02869792407290617,-0.223309285953342,-0.026555486561925395,-0.029172553159353104,-0.40150092781776403,0.02562042635233827,0.002467311509134814,-0.0320630515049625,-0.0787464372594588,0.08082590709474793,-0.03206915046812423,-0.07875024022540297,-0.08082640802800178,0.05624557782090561,0.243670971871632,3.8489412716497204,-3.443994276452865,-0.04043667628284357,0.021582136543295525,-1.783638651827268,-3.974379017403855,-0.16523178140105094,-0.14436713088612313,-0.07460606662656873,0.24183668270942513,-0.15324381302957796,-0.029958650215099566,0.005071277143177535,0.00874214244090116,0.0018533674576107879,-7.0135785541339555,0.01926273643064267,0.02096193345450205,6.567979045164247,-41.66558965422547,0.10928451972548603,-0.06354036856683432,0.12158114558189714,0.3548097260834674,0.5078685349232293,-0.044492820457032345,-0.04272893888128238,-0.022100158885167528,0.005957816432581234,-4.423636985865311,-0.14944930860276107,0.08583021904650115,-0.03675716473817425,-0.14949399909751115,0.08443317370006882,0.03638589523695773,-0.09581529978824527,-0.0001974770483411306,0.9705330513240039,nan,nan,nan,nan,nan,nan
4,0.025,Standing,-0.0018267498253073063,0.9463184202370191,-0.019891260722675726,0.05359297903755521,-0.003657935377142675,-0.3956447893306166,-0.04721354968515844,-0.37560808421234393,0.05775356446513646,0.017297933383759602,0.0541111246604372,0.02926936621451734,-0.2271060502436185,0.026085318148363172,-0.028874661208708394,-0.4013313432270875,-0.025575393866606816,0.02879762331267284,-0.0037028633475527533,-0.39531241574016274,-0.0327294171403749,-0.02572067357850588,0.06023650741544737,0.019336756478876713,0.05450461643516415,0.02941727187577897,-0.2260404847961442,-0.02619941588696314,-0.028956115972822338,-0.4013817156126705,0.025587981452662112,0.01977007945222988,-0.03326937313654318,-0.07808714643294568,0.0805332170809306,-0.033471918706985855,-0.07797910037111204,-0.0804895343544959,-0.21594342469872435,-0.43953977605151506,-3.3109502886396456,7.187284046194976,0.0030911710326492065,-0.0005166061400798047,-7.820534717641019,7.848861647184615,-0.39885098643763806,-0.10265923225482877,-0.3036499021751092,0.19756389525777504,-0.6336055528998279,-0.08303027873595019,0.04687366584939681,0.028335974208383914,0.007528978613714941,5.726991198627429,-0.02203484329647406,0.01850509750602617,-6.8692972827970245,23.706578533279583,-0.24593730520882018,-0.01992654447144534,-0.2419389637689266,0.14386956057455988,-0.5462397685604385,0.07121413499245091,0.04328743730615343,0.023842441018708634,-0.006488979935231625,3.460553588619013,-0.2412643263161366,0.13185816530262576,-0.0585380027634671,-0.28055364777232517,0.15422797085818624,0.06737473470117522,-0.09594676522019761,-0.0001973393555564538,0.9699037655449212,nan,nan,nan,nan,nan,nan
5,0.030000000000000002,Standing,-0.0015642912691755818,0.9479461718121643,0.0019928458071309905,0.030040413211628335,-0.00372685893536574,-0.39552619614609147,-0.05361111669267478,-0.3388872920031645,0.05716690838695489,0.017014311425392996,0.05354089360363628,0.030728341333269266,-0.22780099704255802,0.025942137261646563,-0.028876996867009924,-0.4012895116349678,-0.02556697799713313,-0.008668648965760015,-0.0038700932130027784,-0.39508218972350256,-0.00916265344822513,-0.008461699229953289,0.06080070913418603,0.018930578912581222,0.055123016029233404,0.030493287980660127,-0.22430353370845155,-0.026356160792762564,-0.02911432179505383,-0.40145422845943135,0.025608370603947835,-0.005372356972347114,-0.033750678794135125,-0.07778633947279495,0.08040539484440426,-0.034086604882958796,-0.07759146342474892,-0.08032856462791865,0.05249171122634494,0.3255503150290521,4.376821305961343,-4.710513165185374,-0.013784711644613062,0.023718636905020782,-1.2795134015032685,7.344158441835888,-0.11733121563631443,-0.05672439167332113,-0.11404621136018417,0.29179502375038546,-0.13898935978790466,-0.028636177343322203,-0.00046713166030585423,0.00836631842395097,0.0016831738947372474,-7.4932544556865714,-0.03344597309000502,0.046045203332040166,4.713352738429954,3.4517948697105183,0.11284034374773128,-0.08123551325909789,0.12367991881385176,0.21520322097623157,0.3473902175385304,-0.03134898115988498,-0.03164116444629827,-0.014502569352175022,0.004077830257144819,-5.028487284915399,-0.09626113151838983,0.06016139203014495,-0.025564447305266823,-0.12293723519458799,0.07752738927262429,0.032193945315452104,-0.09610549951400156,-0.00019720914409785672,0.9692657226092541,nan,nan,nan,nan,nan,nan
6,0.035,Standing,-0.002282496186992174,0.9472575328259575,-0.008764491984062968,0.05271266858868819,-0.0036286068492982315,-0.39553359691607626,-0.07918131565188698,-0.29319188538699337,0.05558080269019203,0.016515371716365017,0.05237051860752852,0.0315565135867275,-0.22994232479156013,0.025660091768417905,-0.028739027621956927,-0.4011900396418616,-0.025541540537407204,-0.004063108603813399,-0.0038942592842316766,-0.39497728823869965,0.00896906285073474,-0.05262216542883176,0.061223333390735074,0.01861307870279362,0.05571084272484673,0.030796077414089292,-0.22283837495200678,-0.026517113265108725,-0.029201252536106954,-0.40152659513517763,0.025625658154520822,0.006158792365285312,-0.034471386239868236,-0.07734760446190381,0.08021364726831301,-0.03490422919257209,-0.07708332899454999,-0.08011909602177889,-0.14364098356331845,-0.13772779724138184,-2.1514675582387914,4.534451075411972,0.01965041721350172,-0.0014801539969588398,-5.11403979184244,9.139081323234219,-0.31722113935257223,-0.0997879418055957,-0.23407499922155264,0.16563445069164778,-0.42826554980042025,-0.05640909864573166,0.027593849010599667,0.019894398621231085,0.005087491945185622,0.9211080723893232,-0.004833214245779659,0.02098029696058537,3.626343259791974,-8.832093239775695,0.084524851309809,-0.0635000419575208,0.11756533912266474,0.06055788668583276,0.2930317512889514,-0.0321904944692319,-0.017386148210624685,-0.014473335149260472,0.0034575101145978156,2.3062298675264854,-0.1441414891466228,0.08774700217822831,-0.03834951521824918,-0.16352486192265892,0.10162688603978592,0.041893721227952714,-0.09646392799189701,-0.00019718572180770516,0.9691839831644651,nan,nan,nan,nan,nan,nan
7,0.04,Standing,-0.002900623512560958,0.9474901561609055,-0.007771043470367023,0.05466312986011775,-0.0035592459821893875,-0.39547718768585527,-0.08846499989564773,-0.25542572054366486,0.05488569624692019,0.016345373333012943,0.05165027727238373,0.03262869691530538,-0.23083612718916996,0.025515263502672702,-0.02870076924962138,-0.401146034702714,-0.02553082287658847,-0.0054132299714993925,-0.004080265847942901,-0.3948365601120588,-0.002797497757692417,0.12355373735051876,0.06089814551574524,0.018364376513019788,0.055527396848608544,0.030650164703010588,-0.22373939872704404,-0.02641474747294177,-0.02912826561705863,-0.40148546298867516,0.025614997424743387,0.00404672707461936,-0.03473755731286326,-0.07716916539806819,0.08013487897707601,-0.03532895294258127,-0.07678517786304824,-0.08000244131805619,-0.12362546511375679,0.04652466698959837,0.19868970273918896,0.39009225428591243,0.013872173421768786,0.011281846044194643,-1.8567368487521492,7.553232968665705,-0.1390212886543671,-0.0339996766704147,-0.14404826702895857,0.21443666571557587,-0.17876047952196933,-0.028965653149040368,0.00765167446710947,0.008800987829530978,0.0021435321637467922,-0.2700242735371987,-0.03720131274224492,0.028145625328165697,-2.3533121216854314,35.2351805558701,-0.06503757499796681,-0.04974043795476642,-0.03668917524763675,-0.02918254221574071,-0.18020475500745375,0.020473158433390863,0.014597383809665004,0.00822642930049687,-0.002132145955487074,-0.4224130581331904,-0.05323421459900399,0.035687812767125,-0.015753658247399462,-0.08494475000183462,0.05963022630034975,0.023330940744540864,-0.09689962544672477,-0.00019722326518387747,0.9694218293848885,nan,nan,nan,nan,nan,nan
8,0.045,Standing,-0.0034028037590840415,0.9483580856100291,-0.007111006598756088,0.055910759330557246,-0.003498253472520632,-0.3954429963352216,-0.09441580644724505,-0.22655014762671052,0.05425515669725441,0.016058962289312726,0.05114681622432522,0.03324142442223617,-0.2314217313472168,0.025426284766513145,-0.028686140191961737,-0.4011146022087331,-0.02552383323244119,-0.018297586890261088,-0.003907720970791401,-0.39486743616280995,0.02548886487017818,-0.07646179423047665,0.06152101700525707,0.018157100375846637,0.05634086778999783,0.030998130248235077,-0.22141976867198843,-0.026683100897163806,-0.029291422488488043,-0.40159133395592855,0.025642404896765957,0.0027660707898491538,-0.034864051288617436,-0.07705155533555386,0.08008333118814906,-0.0355183666973329,-0.07660254656096963,-0.0799382896845491,-0.10043604930461673,0.17358588982473042,0.13200737432218707,0.2495258940878984,0.012198501933751054,0.006838270126728569,-1.1901613103194664,5.775114583390865,-0.1261079099331552,-0.05728220874004374,-0.10069220961170136,0.12254550138615841,-0.1171208316093709,-0.017795747231911588,0.0029258115319288226,0.006286498796185814,0.0013979288294562412,-2.576871383752339,0.03450897543030003,-0.006175210150226235,5.657272525574119,-40.00310631619908,0.12457429790236671,-0.04145522743462986,0.16269418827785626,0.06959310904489786,0.46392601101112224,-0.053670684844406825,-0.03263137428588278,-0.02117419345067379,0.0054814944045139535,-0.2561312569540413,-0.025298795150836117,0.023522012502865307,-0.010309557785389691,-0.037882750950327455,0.036526260415722434,0.012830326701417375,-0.09751617102285186,-0.00019731374829592003,0.9698667754529506,nan,nan,nan,nan,nan,nan
9,0.049999999999999996,Standing,-0.004714883482891199,0.9477190032546542,-0.022251216660344627,0.07868675068372334,-0.0033814767229152134,-0.3954465384786307,-0.10672125107736598,-0.19893320507679793,0.05340985007806082,0.01577632357544469,0.050466319783727266,0.033691344118721184,-0.23247188686714135,0.025289760503820872,-0.02861158130800523,-0.40106795972015175,-0.025511343397559335,0.004661138320478965,-0.004012087584372818,-0.3948248258075578,-0.0004793921809550829,0.03459641497931949,0.06070743027795344,0.01809158946110417,0.05563198693035261,0.030814151293544187,-0.22340778606269399,-0.02645843926705567,-0.02912499761273626,-0.4015046668982344,0.025618898333895097,0.01842705955786723,-0.03493804482033017,-0.07698451749513446,0.08004997132036754,-0.03567758783699933,-0.07646895021696161,-0.07989247506806228,-0.2624159447614314,-0.12781647107497215,-3.028042012317708,4.555198270633219,0.023355349921083735,-0.0007084286818224914,-2.4610889260241846,5.523388509982517,-0.1690613238387172,-0.05652774277360731,-0.13609928811959107,0.08998393929700332,-0.21003110398490804,-0.027304852538454483,0.014911776791301283,0.009328497716270607,0.0024979669763709935,4.591745042148011,-0.0208733227162832,0.008522071050430832,-5.193651410226653,22.211641841959228,-0.16271734546072694,-0.013102182948493728,-0.14177617192904424,-0.03679579093817818,-0.39760347814111013,0.044932326021627216,0.033284975150356375,0.017333411538836538,-0.004701312574172323,3.1321977536036156,-0.014798706342546996,0.013407568083879587,-0.006671973556304719,-0.03184422793328523,0.026719268801603628,0.009162923297362001,-0.0982391450918605,-0.00019743208141060286,0.9704912385260253,nan,nan,nan,nan,nan,nan
