step,time,phase_name,hamstrings_r.tendon_length,hamstrings_r.tendon_velocity,hamstrings_r.actuator_force,hamstrings_r.activation,bifemsh_r.tendon_length,bifemsh_r.tendon_velocity,bifemsh_r.actuator_force,bifemsh_r.activation,glut_max_r.tendon_length,glut_max_r.tendon_velocity,glut_max_r.actuator_force,glut_max_r.activation,iliopsoas_r.tendon_length,iliopsoas_r.tendon_velocity,iliopsoas_r.actuator_force,iliopsoas_r.activation,rect_fem_r.tendon_length,rect_fem_r.tendon_velocity,rect_fem_r.actuator_force,rect_fem_r.activation,vasti_r.tendon_length,vasti_r.tendon_velocity,vasti_r.actuator_force,vasti_r.activation,gastroc_r.tendon_length,gastroc_r.tendon_velocity,gastroc_r.actuator_force,gastroc_r.activation,soleus_r.tendon_length,soleus_r.tendon_velocity,soleus_r.actuator_force,soleus_r.activation,tib_ant_r.tendon_length,tib_ant_r.tendon_velocity,tib_ant_r.actuator_force,tib_ant_r.activation,hamstrings_l.tendon_length,hamstrings_l.tendon_velocity,hamstrings_l.actuator_force,hamstrings_l.activation,bifemsh_l.tendon_length,bifemsh_l.tendon_velocity,bifemsh_l.actuator_force,bifemsh_l.activation,glut_max_l.tendon_length,glut_max_l.tendon_velocity,glut_max_l.actuator_force,glut_max_l.activation,iliopsoas_l.tendon_length,iliopsoas_l.tendon_velocity,iliopsoas_l.actuator_force,iliopsoas_l.activation,rect_fem_l.tendon_length,rect_fem_l.tendon_velocity,rect_fem_l.actuator_force,rect_fem_l.activation,vasti_l.tendon_length,vasti_l.tendon_velocity,vasti_l.actuator_force,vasti_l.activation,gastroc_l.tendon_length,gastroc_l.tendon_velocity,gastroc_l.actuator_force,gastroc_l.activation,soleus_l.tendon_length,soleus_l.tendon_velocity,soleus_l.actuator_force,soleus_l.activation,tib_ant_l.tendon_length,tib_ant_l.tendon_velocity,tib_ant_l.actuator_force,tib_ant_l.activation
0,0.005,Standing,0.4201223480305749,0.0,0.0,0.0,0.24598155950629338,0.0,-243.3873822789338,1.0,0.20950694767158395,0.0,0.0,1.0,0.26094546743216207,0.0,-48.671231756288144,0.6995804967037436,0.4758471176512823,0.0,-343.9077569067681,1.0,0.18278689907843715,0.0,0.0,1.0,0.45015657892407046,0.0,0.0,0.0,0.2913979577828231,0.0,0.0,1.0,0.30378507609891625,0.0,0.0,0.02475207592953638,0.42012234803057485,0.0,0.0,0.0,0.24598155950629344,0.0,-350.1960663504845,0.0,0.20950694767158398,0.0,0.0,1.0,0.26094546743216207,0.0,-18.82299241583844,0.0,0.4758470910762818,0.0,-121.33608974628373,0.0,0.18278656860603554,0.0,0.0,1.0,0.45015657892407057,0.0,0.0,0.0,0.29139795778282307,0.0,0.0,0.3507160872891338,0.3037850760989162,0.0,0.0,1.0
1,0.01,Standing,0.42045803769592366,0.06720190787147234,0.0,0.0,0.24577545958730526,-0.04154584817986462,-686.6003791350122,1.0,0.21010502957242488,0.1194596801008018,-1092.1575509280935,1.0,0.2605064014549318,-0.08790534281127174,-1137.0609729283728,0.6995804967037436,0.47457378306473286,-0.25474559758390036,-614.5508711577039,1.0,0.18329850005338172,0.10178597911037818,-1520.1574573586265,1.0,0.4502307365328352,0.01486344894113345,0.0,0.0,0.2917071116323874,0.06175264938149841,-3750.840193477825,1.0,0.30347817642343844,-0.06142631211729882,-50.37279849158908,0.02475207592953638,0.4204707952669264,0.069845388714455,0.0,0.0,0.24583180089250153,-0.030106424363505867,-346.7698596836631,0.0,0.21003962009774316,0.10641040504753466,-1114.711200889713,1.0,0.26056410589748114,-0.07636754099442884,-15.803125692067182,0.0,0.47501537164185015,-0.16650352534290386,-111.62669053720676,0.0,0.18313101042151883,0.06863521157268256,-1179.4858664348812,1.0,0.450183599835277,0.00541841308103156,0.0,0.0,0.2915965407733344,0.039684505131693554,-1227.318564506471,0.3507160872891338,0.3035880834172433,-0.0394177275562017,-2090.7356198604593,1.0
2,0.015,Standing,0.42033317284108873,-0.028397157034107473,0.0,0.0,0.24666422419472206,0.17260092392649554,-898.287397253218,1.0,0.20875487376198432,-0.2708081067951155,-475.93879706713153,1.0,0.2609901651357473,0.09686345227070182,-1897.7217865925177,0.5505486364954898,0.4767517934269579,0.4361453031588739,-1165.1082243042433,1.0,0.17943138125675442,-0.779368617736923,0.0,1.0,0.43645225002677207,-2.7885221036603305,0.0,0.0,0.2770857642411303,-3.0092442484537214,0.0,1.0,0.3168265540599404,2.535537782434895,-116.53185367912177,0.0,0.4196604524027462,-0.16132071839169185,0.0,0.0,0.2459845738920214,0.030157000247825683,-350.2652029748131,0.0,0.2090432556658724,-0.19969894748495515,-553.5796231188572,1.0,0.2612561260452842,0.13799107501149815,-21.478016387407493,0.0,0.4760492451112767,0.20629282203807647,-123.75717119491219,0.0,0.18131876257348756,-0.3630396197842939,-146.50425289307293,1.0,0.45296079604883194,0.5510137487108809,0.0,0.0,0.2940840191069729,0.49192867716468874,-1659.3636688011413,0.47586693139638725,0.3010759894151299,-0.5052134496343615,-273.849132019511,1.0
3,0.02,Standing,0.42078717187876746,0.09113956382968891,0.0,0.0,0.24659202347201084,-0.0144297765178527,-725.7318073786103,1.0,0.20932526944338203,0.11394127018169341,-1056.5655743593686,1.0,0.25975718312893076,-0.23100540956603394,-599.3343889495034,0.85965796652852,0.47459810133241,-0.43113536143390896,-464.7154926452324,1.0,0.1787460826989838,-0.13701405721380577,-401.858947509447,1.0,0.430695008785359,-1.1452670404905176,0.0,0.0,0.27142746443933313,-1.1330754932804488,0.0,0.0,0.32146826703521136,0.9056028574062216,-202.60791026748268,1.0,0.420146292285961,0.09640314229172425,0.0,0.0,0.24630809922475883,0.06388707513054584,-357.7251063955803,0.0,0.20906953398392825,0.005255371725469508,-924.2770160762171,1.0,0.26122146394948226,-0.006927331265732445,-21.173100303732078,0.0,0.4766361058010476,0.11791882894617925,-130.92115579542994,0.0,0.17967303869297363,-0.3302710506607749,-152.4258457617192,1.0,0.45088868868878007,-0.41782257460862227,0.0,0.0,0.29170749111870914,-0.48022729144478626,-411.5553250958357,1.0,0.3034777989416071,0.4776918628071053,-3238.54079685008,1.0
4,0.025,Standing,0.42053068534676047,-0.05178144852486273,0.0,0.0,0.24624950243540883,-0.06897819723031676,-658.9642248599455,1.0,0.20956124146277144,0.04717043722944501,-972.4662631019569,1.0,0.25911270099041694,-0.12192244626571895,-1040.875339946282,0.30761633542779554,0.47250673485879974,-0.4184534439382016,-440.8517487411453,1.0,0.17874913689053792,0.00019051163121361347,-701.3595085166013,1.0,0.4295394038556896,-0.23011053818372174,0.0,0.0,0.2707145412569261,-0.14255909661661065,-1089.961048100906,1.0,0.32203628244226346,0.11322846135631066,-3232.7839257628466,1.0,0.41972814411177284,-0.08371727348156066,0.0,0.0,0.24608524604176457,-0.044647318478041806,-352.5780946428822,0.0,0.2089787799450651,-0.018154281777936543,-875.9748988906829,1.0,0.2612643160908635,0.008567590860203535,-21.550381099296466,0.0,0.47611631652228764,-0.10417597321747718,-124.56573044999143,0.0,0.17960776480577334,-0.01300980825692269,-642.4221837105074,1.0,0.45874204386383793,1.5146618589906082,0.0,0.0,0.2995100796835807,1.4935794335876398,-3392.8780282381044,0.0,0.295280215192157,-1.6611394693477408,0.0,1.0
5,0.030000000000000002,Standing,0.4191801620844755,-0.27262035293731085,0.0,0.0,0.24551204624097028,-0.15029130090010703,-563.9428501831493,0.9789243292658474,0.2092584024443311,-0.06060709727566486,-785.9705174327015,1.0,0.25895838612663796,-0.02716195506549265,-1293.510534050363,0.48133439775232967,0.4702353803797237,-0.45351370924833884,-380.8862311609338,1.0,0.17944244530662534,0.13525082990968662,-1024.2887658447053,1.0,0.43530592375847377,1.1613896634690841,0.0,0.0,0.27739212552621373,1.3303058392093121,-3067.039096444881,1.0,0.3165680291659802,-1.1242858448672073,-21.145353482513606,0.3866006219853969,0.4191916350032304,-0.10887573854861249,0.0,0.0,0.2468180539662099,0.14242625979497864,-369.64333102731723,0.0,0.20742009359203678,-0.3127156550415955,-378.98212812735204,1.0,0.2623164335881634,0.20935415150992262,-31.858593585211004,0.0,0.47879789770183423,0.5365037631074221,-159.04954762038614,0.0,0.17686330732966313,-0.5545220180885827,-6.516775384642723,1.0,0.45589591712142175,-0.5799781623172803,0.0,0.0,0.29590797147035347,-0.7354175458613597,-187.40217826592243,1.0,0.2991786897876246,0.7749229702532584,-2916.1502443776794,1.0
6,0.035,Standing,0.41806308445489715,-0.22310850897806492,0.0,0.0,0.24518876273150422,-0.06502157267437945,-651.7194406139236,0.8082624106153737,0.20856726813876036,-0.1384266259468017,-649.6412192301649,1.0,0.2591174537280785,0.03388708152109218,-1480.3705529946405,0.6360685717303254,0.4695669667683549,-0.13396884476241516,-703.6577522697269,1.0,0.17856664352052062,-0.17576714424799217,-324.4550252400481,1.0,0.43909277815958314,0.756065265527049,0.0,0.0,0.28149557014947263,0.8154562228528444,-3532.099262611767,1.0,0.313026819945092,-0.7188726187664313,-0.00048598014952309655,0.0,0.4182689048766397,-0.18339083701396905,0.0,0.0,0.2469111755288936,0.018398208837553717,-371.84077588083335,0.0,0.20637411969920588,-0.20961027048484232,-513.2908651674496,1.0,0.26300184526927395,0.13656663398295052,-39.654362095515694,0.0,0.4796569752046951,0.17114367004661146,-170.9869231220119,0.0,0.17623619054698578,-0.12604913579088134,-268.7576646662013,1.0,0.46224068507487576,1.2284551255038803,0.0,0.0,0.301847617683582,1.1418157694006548,-3691.628552584969,0.0,0.2926313685784338,-1.3186231558595105,0.0,1.0
7,0.04,Standing,0.41694735432037705,-0.22166334530002413,0.0,0.0,0.2451624350213393,-0.005273232705642906,-700.4811696684455,0.9775809384938403,0.2074567583391923,-0.22259570288318034,-512.0222427898343,1.0,0.2595819732901239,0.0934085974835819,-1686.2260868955623,0.7381934029627352,0.4696519945493482,0.0157398035172249,-924.8368970102941,1.0,0.1776034942121713,-0.1925898644496597,-259.78400947884796,1.0,0.4413171555319083,0.44387866084052635,0.0,0.0,0.2836936953002433,0.43757279739683314,-3804.5446986616334,1.0,0.3110657817951502,-0.395110205842724,-180.28669321823403,0.0,0.41762814126345854,-0.12971796074310157,0.0,0.0,0.24769723261752163,0.1520612742490913,-390.64933118948267,0.0,0.20455041152143785,-0.3659086084209006,-296.7023498862082,1.0,0.26419181304896394,0.2364510606353137,-55.21338798432962,0.0,0.482696115981092,0.607520494894013,-216.68426162731947,0.0,0.17380813911893803,-0.49311562563063216,-12.934300540361125,1.0,0.4577027294970121,-0.9358601039752004,0.0,0.0,0.2965077791943997,-1.1036176802973727,0.0,1.0,0.2985439169920959,1.173039235532086,-2864.320234702249,1.0
8,0.045,Standing,0.41663178246716626,-0.06300581532986432,0.0,0.0,0.2451304325404738,-0.006399532723101651,-702.6661696499618,1.0,0.20715278154177422,-0.06083133047426886,-726.3955044413655,1.0,0.259573131475439,0.00020823447634625916,-1447.7599960266957,0.8406814926509931,0.46885631416986023,-0.1592154969965877,-664.354634142525,1.0,0.17714200945168251,-0.09228410773305559,-391.41282778081455,1.0,0.44262026684270184,0.2601536334928654,0.0,0.0,0.28500034734598945,0.2604910185968446,-3954.5075505202462,1.0,0.3098772244121843,-0.2387065650015055,-489.1378933832432,0.0,0.41720565552136357,-0.08424350776553026,0.0,0.0,0.2477347174852759,0.007428308441207459,-391.55785035285425,0.0,0.2040624633214088,-0.09766888164757608,-661.2828503807211,1.0,0.26447305210335076,0.05611200594018381,-59.265993101460865,0.0,0.4829876984910037,0.0582714168866352,-221.35276106362582,0.0,0.173673966188007,-0.027124567679853665,-246.61977304778645,1.0,0.46032151895696255,0.5173320592041515,0.0,0.0,0.2989866741030668,0.4884116006014287,-3660.0594807410835,0.0,0.2958599731830062,-0.5388030501587844,-181.5982148715201,1.0
9,0.049999999999999996,Standing,0.4159681459618891,-0.13202984530374845,0.0,0.0,0.24531909507922145,0.03733638217836808,-760.5678088364552,1.0,0.2061883330435878,-0.1932392201573527,-522.9063651562059,1.0,0.2600324497148114,0.09162867279543205,-1943.0726187668681,0.6869799268015299,0.4692056612314096,0.06921100407119848,-998.0198578023238,1.0,0.17625391625920495,-0.17801587527895063,-228.75413513023838,1.0,0.44338063091091534,0.1521992442869785,0.0,0.0,0.2855222804874789,0.10424347757167554,-3574.599144666364,1.0,0.30939750556442647,-0.09610018489348007,-817.2048357885536,0.0,0.4168074344146111,-0.08176105650702017,0.0,0.0,0.24843382506111836,0.1353238625300814,-408.6954553647373,0.0,0.20254234310009595,-0.304742418120428,-352.4282329106114,1.0,0.26541911968002735,0.1880332872164338,-73.952006727676,0.0,0.4856660856819074,0.5356831427518972,-266.5638684102577,0.0,0.17153595990376486,-0.4341432284145573,-16.244028467814452,1.0,0.4519230466707229,-1.7365600017241498,0.0,0.0,0.28991272540687774,-1.8905435091307126,0.0,1.0,0.30524252674700797,1.8376777810819664,-3356.4305179597363,1.0
