generation,min_cost,mean_cost,best_cost,simulation_time
1,17.46,18.4648,17.46,17.46
2,17.12,18.441599999999998,17.12,17.12
3,16.54,18.0168,16.54,16.54
4,17.02,17.9392,16.54,16.54
5,17.1,17.788,16.54,16.54
6,17.32,17.884,16.54,16.54
7,17.12,17.8256,16.54,16.54
8,16.96,17.915200000000002,16.54,16.54
9,16.259999999999998,17.7208,16.259999999999998,16.259999999999998
10,17.06,17.768800000000002,16.259999999999998,16.259999999999998
11,16.939999999999998,17.8104,16.259999999999998,16.259999999999998
12,17.1,17.992,16.259999999999998,16.259999999999998
13,15.8,17.380799999999997,15.8,15.8
14,16.66,17.6824,15.8,15.8
15,16.38,17.363200000000003,15.8,15.8
16,15.4,17.4056,15.4,15.4
17,16.12,17.5352,15.4,15.4
18,16.22,17.273600000000002,15.4,15.4
19,16.200000000000003,16.9656,15.4,15.4
20,15.8,17.072,15.4,15.4
21,16.400000000000002,17.0784,15.4,15.4
22,16.12,17.0024,15.4,15.4
23,15.88,16.939999999999998,15.4,15.4
24,16.06,17.048,15.4,15.4
25,16.12,17.2328,15.4,15.4
26,16.0,16.9928,15.4,15.4
27,15.84,16.5688,15.4,15.4
28,15.84,16.796000000000003,15.4,15.4
29,15.8,16.88,15.4,15.4
30,16.099999999999998,17.02,15.4,15.4
31,15.920000000000002,16.599999999999998,15.4,15.4
32,16.080000000000002,16.788,15.4,15.4
33,15.920000000000002,16.8448,15.4,15.4
34,16.099999999999998,16.9776,15.4,15.4
35,16.259999999999998,16.7648,15.4,15.4
36,15.9,16.6888,15.4,15.4
37,16.06,16.972,15.4,15.4
38,16.32,16.836,15.4,15.4
39,15.979999999999999,16.6208,15.4,15.4
40,16.299999999999997,16.860799999999998,15.4,15.4
41,16.080000000000002,16.7208,15.4,15.4
42,16.200000000000003,16.7832,15.4,15.4
43,15.88,16.877599999999997,15.4,15.4
44,16.259999999999998,16.763199999999998,15.4,15.4
45,15.760000000000002,16.492800000000003,15.4,15.4
46,15.9,16.5064,15.4,15.4
47,15.96,16.788,15.4,15.4
48,15.96,16.643199999999997,15.4,15.4
49,15.9,16.6328,15.4,15.4
50,15.96,17.076800000000002,15.4,15.4
51,15.860000000000001,16.6544,15.4,15.4
52,15.920000000000002,16.770400000000002,15.4,15.4
53,16.299999999999997,16.741600000000002,15.4,15.4
54,16.099999999999998,16.6312,15.4,15.4
55,16.240000000000002,16.6232,15.4,15.4
56,15.9,16.6504,15.4,15.4
57,16.02,16.8432,15.4,15.4
58,16.22,16.710400000000003,15.4,15.4
59,15.939999999999998,16.607999999999997,15.4,15.4
60,15.96,16.372,15.4,15.4
61,15.780000000000001,16.496,15.4,15.4
62,15.56,16.6672,15.4,15.4
63,15.74,16.668,15.4,15.4
64,15.3,16.323199999999996,15.3,15.3
65,15.96,16.6432,15.3,15.3
66,16.240000000000002,16.904,15.3,15.3
67,15.939999999999998,16.5472,15.3,15.3
68,15.9,16.488000000000003,15.3,15.3
69,15.939999999999998,16.6128,15.3,15.3
70,16.32,16.7552,15.3,15.3
71,16.200000000000003,16.4832,15.3,15.3
72,16.22,16.4072,15.3,15.3
73,15.920000000000002,16.6552,15.3,15.3
74,15.939999999999998,16.448800000000002,15.3,15.3
75,15.9,16.7816,15.3,15.3
76,16.02,16.6032,15.3,15.3
77,15.96,16.4928,15.3,15.3
78,16.099999999999998,16.384,15.3,15.3
79,16.02,16.639200000000002,15.3,15.3
80,16.200000000000003,16.4768,15.3,15.3
81,16.16,16.566399999999998,15.3,15.3
82,16.099999999999998,16.5464,15.3,15.3
83,16.22,16.7504,15.3,15.3
84,16.18,16.5208,15.3,15.3
85,15.939999999999998,16.5304,15.3,15.3
86,15.979999999999999,16.4,15.3,15.3
87,16.12,16.6648,15.3,15.3
88,15.920000000000002,16.4696,15.3,15.3
89,16.099999999999998,16.5968,15.3,15.3
90,16.06,16.732,15.3,15.3
91,15.939999999999998,16.671200000000002,15.3,15.3
92,15.939999999999998,16.8288,15.3,15.3
93,15.88,16.6072,15.3,15.3
94,16.12,17.053600000000003,15.3,15.3
95,15.9,16.8552,15.3,15.3
96,15.88,16.831200000000003,15.3,15.3
97,15.939999999999998,16.991200000000003,15.3,15.3
98,15.9,16.7008,15.3,15.3
99,15.66,16.4392,15.3,15.3
100,16.06,16.7992,15.3,15.3
101,15.66,16.499199999999995,15.3,15.3
102,15.939999999999998,16.7976,15.3,15.3
